#Matching species	Similarity (%)
Olsenella umbonata--Atopobacteriaceae--FN178463 (Valid)	93.6229852838
Olsenella uli--Atopobacteriaceae--AF292373 (Valid)	93.543956044
Olsenella profusa--Atopobacteriaceae--AF292374 (Valid)	93.3844011142
Olsenella scatoligenes--Atopobacteriaceae--JX905358 (Valid)	92.3024523161
Collinsella stercoris--Coriobacteriaceae--AB031061 (Valid)	91.6952642416
Collinsella intestinalis--Coriobacteriaceae--AB031063 (Valid)	91.3520933425
Collinsella tanakaei--Coriobacteriaceae--AB490807 (Valid)	91.0212474297
Slackia piriformis--Eggerthellaceae--AB490806 (Valid)	90.5582356995
Atopobium vaginae--Atopobacteriaceae--Y17195 (Valid)	90.4373610082
Atopobium parvulum--Atopobacteriaceae--CP001721 (Valid)	90.2240325866
Collinsella aerofaciens--Coriobacteriaceae--AB011816 (Valid)	90.0616860864
Enorma timonensis--Coriobacteriaceae--JX424767 (Valid)	89.9310344828
Collinsella massiliensis--Coriobacteriaceae--JX424766 (Valid)	89.8198903681
Atopobium minutum--Atopobacteriaceae--X67148 (Valid)	89.8058252427
Gordonibacter faecihominis--Eggerthellaceae--KF785806 (Valid)	89.6186440678
Gordonibacter urolithinfaciens--Eggerthellaceae--HG000667 (Valid)	89.5676046671
Adlercreutzia equolifaciens--Eggerthellaceae--AB306661 (Valid)	89.5166780123
Slackia exigua--Eggerthellaceae--AF101240 (Valid)	89.4700619408
Eggerthella lenta--Eggerthellaceae--AF292375 (Valid)	89.3805309735
Slackia heliotrinireducens--Eggerthellaceae--AF101241 (Valid)	89.2561983471
Slackia faecicanis--Eggerthellaceae--AJ608686 (Valid)	89.2487939352
Eggerthella sinensis--Eggerthellaceae--AY321958 (Valid)	89.2005610098
Gordonibacter pamelaeae--Eggerthellaceae--AM886059 (Valid)	89.1532540238
Atopobium deltae--Atopobacteriaceae--KF537630 (Valid)	89.1495601173
Coriobacterium glomerans--Coriobacteriaceae--X79048 (Valid)	89.1137473831
Enterorhabdus muris--Eggerthellaceae--KR364735 (Valid)	89.0636168692
Senegalimassilia anaerobia--Eggerthellaceae--JF824809 (Valid)	89.0216579537
Atopobium fossor--Atopobacteriaceae--L34620 (Valid)	89.010989011
Slackia isoflavoniconvertens--Eggerthellaceae--EU826403 (Valid)	89.0052356021
Enterorhabdus caecimuris--Eggerthellaceae--DQ789120 (Valid)	88.9266304348
Paraeggerthella hongkongensis--Eggerthellaceae--AY288517 (Valid)	88.8499298738
Atopobium rimae--Atopobacteriaceae--AF292371 (Valid)	88.7811634349
Enorma massiliensis--Coriobacteriaceae--JN837493 (Valid)	88.7362637363
Asaccharobacter celatus--Eggerthellaceae--AB266102 (Valid)	88.7254901961
Enterorhabdus mucosicola--Eggerthellaceae--AM747811 (Valid)	88.6896551724
Slackia equolifaciens--Eggerthellaceae--EU377663 (Valid)	88.5112168593
Parvibacter caecicola--Eggerthellaceae--GQ456228 (Valid)	88.2108183079
Cryptobacterium curtum--Eggerthellaceae--AB019260 (Valid)	87.0695713282
Denitrobacterium detoxificans--Eggerthellaceae--U43492 (Valid)	85.7749469214
Streptomyces viridis--Streptomycetaceae--FR692117 (Valid)	84.4707520891
Streptomyces incanus--Streptomycetaceae--FR692095 (Valid)	84.4011142061
Acidothermus cellulolyticus--Acidothermaceae--CP000481 (Valid)	84.1961852861
Streptomyces herbaceus--Streptomycetaceae--FR692091 (Valid)	84.1922005571
Streptomyces cyanoalbus--Streptomycetaceae--AB184882 (Valid)	84.1192787795
Streptomyces aomiensis--Streptomycetaceae--AB522686 (Valid)	84.0136054422
Streptomyces prasinus--Streptomycetaceae--DQ026658 (Valid)	83.9918256131
Streptomyces bikiniensis--Streptomycetaceae--X79851 (Valid)	83.9346494214
Streptomyces calidiresistens--Streptomycetaceae--KJ361473 (Valid)	83.7856173677
Allostreptomyces psammosilenae--Streptomycetaceae--KX689228 (Valid)	83.7414965986
Streptomyces panacagri--Streptomycetaceae--AB245388 (Valid)	83.3220338983
