#Matching species	Similarity (%)
Eggerthella sinensis--Eggerthellaceae--AY321958 (Valid)	89.606741573
Atopobium vaginae--Atopobacteriaceae--Y17195 (Valid)	88.7565152643
Atopobium minutum--Atopobacteriaceae--X67148 (Valid)	88.4696016771
Eggerthella lenta--Eggerthellaceae--AF292375 (Valid)	88.3608815427
Paraeggerthella hongkongensis--Eggerthellaceae--AY288517 (Valid)	88.3426966292
Atopobium parvulum--Atopobacteriaceae--CP001721 (Valid)	88.2920110193
Atopobium deltae--Atopobacteriaceae--KF537630 (Valid)	88.2092851879
Parvibacter caecicola--Eggerthellaceae--GQ456228 (Valid)	88.0555555556
Gordonibacter urolithinfaciens--Eggerthellaceae--HG000667 (Valid)	87.7947295423
Atopobium fossor--Atopobacteriaceae--L34620 (Valid)	87.6816608997
Gordonibacter faecihominis--Eggerthellaceae--KF785806 (Valid)	87.6325088339
Gordonibacter pamelaeae--Eggerthellaceae--AM886059 (Valid)	87.6050420168
Olsenella profusa--Atopobacteriaceae--AF292374 (Valid)	87.5262789068
Adlercreutzia equolifaciens--Eggerthellaceae--AB306661 (Valid)	87.4828060523
Senegalimassilia anaerobia--Eggerthellaceae--JF824809 (Valid)	87.3676248109
Olsenella umbonata--Atopobacteriaceae--FN178463 (Valid)	87.3060648801
Enterorhabdus mucosicola--Eggerthellaceae--AM747811 (Valid)	87.188365651
Atopobium rimae--Atopobacteriaceae--AF292371 (Valid)	87.1687587169
Enterorhabdus muris--Eggerthellaceae--KR364735 (Valid)	87.1152469578
Enterorhabdus caecimuris--Eggerthellaceae--DQ789120 (Valid)	87.0701513067
Asaccharobacter celatus--Eggerthellaceae--AB266102 (Valid)	86.8863955119
Olsenella uli--Atopobacteriaceae--AF292373 (Valid)	86.820083682
Denitrobacterium detoxificans--Eggerthellaceae--U43492 (Valid)	86.7563739377
Slackia piriformis--Eggerthellaceae--AB490806 (Valid)	86.2116991643
Slackia exigua--Eggerthellaceae--AF101240 (Valid)	86.0724233983
Slackia heliotrinireducens--Eggerthellaceae--AF101241 (Valid)	85.9930313589
Olsenella scatoligenes--Atopobacteriaceae--JX905358 (Valid)	85.4783207158
Slackia equolifaciens--Eggerthellaceae--EU377663 (Valid)	85.3507565337
Slackia isoflavoniconvertens--Eggerthellaceae--EU826403 (Valid)	85.1907255049
Slackia faecicanis--Eggerthellaceae--AJ608686 (Valid)	85.1567944251
Collinsella tanakaei--Coriobacteriaceae--AB490807 (Valid)	84.9618849619
Coriobacterium glomerans--Coriobacteriaceae--X79048 (Valid)	84.7552447552
Collinsella stercoris--Coriobacteriaceae--AB031061 (Valid)	84.753984754
Collinsella aerofaciens--Coriobacteriaceae--AB011816 (Valid)	84.5674740484
Collinsella intestinalis--Coriobacteriaceae--AB031063 (Valid)	84.3381843382
Enorma timonensis--Coriobacteriaceae--JX424767 (Valid)	84.2688842689
Streptomyces tacrolimicus--Streptomycetaceae--FN429653 (Valid)	84.0689655172
Enorma massiliensis--Coriobacteriaceae--JN837493 (Valid)	83.7950138504
Streptomyces venezuelae--Streptomycetaceae--AB045890 (Valid)	83.56545961
Streptomyces regensis--Streptomycetaceae--DQ026649 (Valid)	83.5172413793
Streptomyces bikiniensis--Streptomycetaceae--X79851 (Valid)	83.5058661146
Sporichthya polymorpha--Sporichthyaceae--AB025317 (Valid)	83.4497206704
Streptomyces aomiensis--Streptomycetaceae--AB522686 (Valid)	83.3333333333
Streptomyces clavifer--Streptomycetaceae--DQ026670 (Valid)	83.2988267771
Egibacter rhizosphaerae--Egibacteraceae--KR605111 (Valid)	83.2302405498
Xylanibacterium ulmi--Promicromonosporaceae--AY273185 (Valid)	83.2298136646
Acidothermus cellulolyticus--Acidothermaceae--CP000481 (Valid)	83.0917874396
Isoptericola cucumis--Promicromonosporaceae--KU201961 (Valid)	82.8431372549
Microbacterium sediminicola--Microbacteriaceae--AB286021 (Valid)	82.7372764787
Jatrophihabitans endophyticus--Frankiaceae--JQ346802 (Valid)	82.3933975241
