#Matching species	Similarity (%)
Streptococcus parasanguinis--Streptococcaceae--AF003933 (Valid)	99.0495587237
Streptococcus rubneri--Streptococcaceae--JX861483 (Valid)	97.7335164835
Streptococcus oralis--Streptococcaceae--AY485602 (Valid)	97.5409836066
Streptococcus australis--Streptococcaceae--AY485604 (Valid)	97.4726775956
Streptococcus himalayensis--Streptococcaceae--KX679400 (Valid)	97.3523421589
Streptococcus sanguinis--Streptococcaceae--AF003928 (Valid)	97.1821305842
Streptococcus mitis--Streptococcaceae--AF003929 (Valid)	97.0768184908
Streptococcus porcorum--Streptococcaceae--FN643224 (Valid)	97.026831037
Streptococcus infantis--Streptococcaceae--AY485603 (Valid)	96.9220246238
Streptococcus lactarius--Streptococcaceae--GU045364 (Valid)	96.8297725706
Streptococcus cristatus--Streptococcaceae--AY188347 (Valid)	96.8048946295
Streptococcus oralis--Streptococcaceae--HG315101 (Valid)	96.7369136642
Streptococcus oralis--Streptococcaceae--JN004270 (Valid)	96.7280163599
Streptococcus pseudopneumoniae--Streptococcaceae--AY612844 (Valid)	96.6484268126
Streptococcus pneumoniae--Streptococcaceae--AF003930 (Valid)	96.4649898029
Streptococcus marmotae--Streptococcaceae--KU992301 (Valid)	96.4019008826
Streptococcus pharyngis--Streptococcaceae--LN624399 (Valid)	96.3276836158
Streptococcus sinensis--Streptococcaceae--AF432856 (Valid)	96.2661235574
Streptococcus gordonii--Streptococcaceae--AF003931 (Valid)	96.2661235574
Streptococcus gallinaceus--Streptococcaceae--AJ307888 (Valid)	96.2431693989
Streptococcus cameli--Streptococcaceae--KF999657 (Valid)	96.1878829135
Streptococcus suis--Streptococcaceae--AF009477 (Valid)	96.1303462322
Streptococcus oricebi--Streptococcaceae--LC002970 (Valid)	95.9016393443
Streptococcus salivarius--Streptococcaceae--AY188352 (Valid)	95.8587915818
Streptococcus hyointestinalis--Streptococcaceae--AF201898 (Valid)	95.8246346555
Streptococcus vestibularis--Streptococcaceae--AY188353 (Valid)	95.7880434783
Streptococcus troglodytidis--Streptococcaceae--JF414111 (Valid)	95.7230142566
Streptococcus alactolyticus--Streptococcaceae--AF201899 (Valid)	95.6854558107
Streptococcus constellatus--Streptococcaceae--AY309095 (Valid)	95.6104252401
Streptococcus salivarius--Streptococcaceae--AY188354 (Valid)	95.5872369314
Streptococcus saliviloxodontae--Streptococcaceae--AB828327 (Valid)	95.5193482688
Streptococcus constellatus--Streptococcaceae--AF104676 (Valid)	95.5163043478
Streptococcus moroccensis--Streptococcaceae--KF999654 (Valid)	95.4421768707
Streptococcus panodentis--Streptococcaceae--LC012889 (Valid)	95.4203691046
Streptococcus gallolyticus--Streptococcaceae--DQ232528 (Valid)	95.3983516484
Streptococcus dysgalactiae--Streptococcaceae--DQ232540 (Valid)	95.3835709437
Streptococcus intermedius--Streptococcaceae--AF104671 (Valid)	95.3835709437
Streptococcus infantarius--Streptococcaceae--AF429763 (Valid)	95.3456536619
Streptococcus parauberis--Streptococcaceae--AY584477 (Valid)	95.2868852459
Streptococcus loxodontisalivarius--Streptococcaceae--AB828326 (Valid)	95.2477936185
Streptococcus gallolyticus--Streptococcaceae--Z94012 (Valid)	95.1799049559
Streptococcus plurextorum--Streptococcaceae--AM774228 (Valid)	95.1757408684
Streptococcus uberis--Streptococcaceae--AB023573 (Valid)	95.150273224
Streptococcus iniae--Streptococcaceae--AF335572 (Valid)	95.1120162933
Streptococcus minor--Streptococcaceae--AY232832 (Valid)	95.1120162933
Streptococcus dysgalactiae--Streptococcaceae--AB002485 (Valid)	95.1120162933
Streptococcus urinalis--Streptococcaceae--AJ131965 (Valid)	95.0819672131
Streptococcus porcinus--Streptococcaceae--AB002523 (Valid)	94.9762389681
Streptococcus infantarius--Streptococcaceae--AF177729 (Valid)	94.9659863946
Streptococcus agalactiae--Streptococcaceae--AB023574 (Valid)	94.8770491803
