#Species	GC%
Bacillus_simplex--GCF_900156045.1	40.0%
Bacillus_vireti--GCF_001026695.1	39.78%
Bacillus_persicus--GCF_900109925.1	39.88%
Bacillus_massiliosenegalensis--GCF_000311725.1	37.03%
Bacillus_gottheilii--GCF_900166665.1	38.51%
Bacillus_muralis--GCF_001645685.2	42.25%
Bacillus_drentensis--GCF_001591445.1	38.69%
Brevibacterium_frigoritolerans--GCF_001636405.1	40.59%
Bacillus_flexus--GCF_001591565.1	37.64%
Bacillus_nealsonii--GCF_002835805.1	34.65%
Bacillus_kochii--GCF_002276165.1	36.77%
Bacillus_boroniphilus--GCF_000517385.1	42.02%
Bacillus_mesonae--GCF_001636315.1	40.28%
Bacillus_megaterium--GCF_000832985.1	37.83%
Bacillus_soli--GCF_001591665.1	39.53%
Bacillus_lentus--GCF_001591545.1	36.53%
Brevibacterium_linens--GCF_900169165.1	64.76%
Bacillus_subterraneus--GCF_000934845.1	42.13%
Bacillus_fumarioli--GCF_001591485.1	40.43%
Bacillus_methanolicus--GCF_000724485.1	38.59%
Bacillus_circulans--GCF_001591585.1	35.57%
Bacillus_bataviensis--GCF_000307875.1	39.61%
Bacillus_campisalis--GCF_000986785.1	45.44%
Bacillus_horikoshii--GCF_001636495.1	41.86%
Bacillus_psychrosaccharolyticus--GCF_000305495.1	38.83%
Bacillus_humi--GCF_001439915.1	38.18%
Bacillus_jeotgali--GCF_900166585.1	42.09%
Bacillus_niacini--GCF_000759675.1	37.82%
Bacillus_cucumis--GCF_002860255.1	38.61%
Bacillus_firmus--GCF_001038755.1	41.95%
Bacillus_novalis--GCF_001591805.1	39.86%
