#Species	GC%
Kineothrix_alysoides--GCF_000732725.1	42.74%
Clostridium_amygdalinum--GCF_900205965.1	41.29%
Clostridium_indolis--GCF_000526995.1	44.93%
Clostridium_vincentii--GCF_002995745.1	30.7%
Clostridium_thermoalcaliphilum--GCF_002029295.1	30.99%
Clostridium_aerotolerans--GCF_000687555.1	42.37%
Natronincola_peptidivorans--GCF_900111615.1	35.47%
Alkaliphilus_transvaalensis--GCF_000621485.1	33.95%
Lutispora_thermophila--GCF_900142105.1	35.65%
Clostridium_homopropionicum--GCF_001263795.1	31.09%
Tepidibacter_mesophilus--GCF_002724055.1	28.85%
Christensenella_minuta--GCF_001652705.1	51.47%
Clostridium_septicum--GCF_900092375.1	27.51%
Clostridium_novyi--GCF_000014125.1	28.86%
Clostridium_butyricum--GCF_000409755.1	28.5%
Clostridium_gasigenes--GCF_900104115.1	28.66%
Clostridium_chromiireducens--GCF_002029255.1	30.12%
Tepidibacter_thalassicus--GCF_900129915.1	27.86%
Caloranaerobacter_azorensis--GCF_900129995.1	29.63%
Ruminococcus_gauvreauii--GCF_000425525.1	47.6%
Clostridium_thermobutyricum--GCF_002050515.1	26.43%
Clostridium_celerecrescens--GCF_000732605.1	43.51%
Geosporobacter_subterraneus--GCF_900142145.1	40.34%
Peptoclostridium_litorale--GCF_900141635.1	41.18%
Clostridium_grantii--GCF_900129965.1	29.31%
Thermotalea_metallivorans--GCF_001562415.1	40.3%
Clostridium_frigidicarnis--GCF_900111985.1	28.44%
Clostridium_uliginosum--GCF_900112485.1	28.1%
Caldisalinibacter_kiritimatiensis--GCF_000387765.1	30.12%
Clostridium_thermopalmarium--GCF_002995795.1	30.98%
Catabacter_hongkongensis--GCF_000981035.1	48.53%
Natronincola_ferrireducens--GCF_900100845.1	34.98%
Caldicoprobacter_oshimai--GCF_000526435.1	44.78%
