#Matching species	Similarity (%)
Catabacter hongkongensis--Unclassified Clostridiales--AY574991 (Valid)	83.9913854989
Caldicoprobacter faecalis--Caldicoprobacteraceae--FR749980 (Valid)	83.4634492548
Christensenella minuta--Christensenellaceae--AB490809 (Valid)	83.3927298646
Caldicoprobacter algeriensis--Caldicoprobacteraceae--GU216701 (Valid)	83.0593280915
Caldicoprobacter oshimai--Caldicoprobacteraceae--AB450762 (Valid)	83.0581478823
Caldicoprobacter guelmensis--Caldicoprobacteraceae--JQ707908 (Valid)	82.9320113314
Alkaliphilus transvaalensis--Clostridiaceae--AB037677 (Valid)	82.7133479212
Clostridium thermoalcaliphilum--Clostridiaceae--FR749954 (Valid)	82.4573863636
Tepidibacter mesophilus--Peptostreptococcaceae--GQ231514 (Valid)	82.3741007194
Clostridium gasigenes--Clostridiaceae--AF092548 (Valid)	82.302771855
Peptoclostridium litorale--Clostridiaceae--X77845 (Valid)	82.206405694
Clostridium frigidicarnis--Clostridiaceae--AF069742 (Valid)	82.1479374111
Irregularibacter muris--Eubacteriaceae--KR364764 (Valid)	82.0842255532
Natranaerovirga pectinivora--Unclassified Clostridiales--GQ922846 (Valid)	81.9985825656
Ilyobacter delafieldii--Fusobacteriaceae--FR733681 (Valid)	81.9217081851
Marinisporobacter balticus--Unclassified Clostridiales--KX822012 (Valid)	81.8116462976
Clostridium uliginosum--Clostridiaceae--AJ276992 (Valid)	81.7987152034
Caldisalinibacter kiritimatiensis--Clostridiaceae--KC608867 (Valid)	81.7730496454
Clostridium vincentii--Clostridiaceae--X97432 (Valid)	81.7723342939
Fonticella tunisiensis--Clostridiaceae--HE604099 (Valid)	81.7081850534
Sporacetigenium mesophilum--Peptostreptococcaceae--AY682207 (Valid)	81.6165951359
Kineothrix alysoides--Lachnospiraceae--KX356505 (Valid)	81.5959741193
Clostridium algidixylanolyticum--Clostridiaceae--AF092549 (Valid)	81.5864022663
Clostridium septicum--Clostridiaceae--U59278 (Valid)	81.5471965933
Clostridium quinii--Clostridiaceae--X76745 (Valid)	81.5186246418
Clostridium indolis--Clostridiaceae--Y18184 (Valid)	81.5132048537
Clostridium xylanolyticum--Clostridiaceae--X76739 (Valid)	81.5078236131
Clostridium homopropionicum--Clostridiaceae--X76744 (Valid)	81.473377097
Clostridium chromiireducens--Clostridiaceae--AY228334 (Valid)	81.4630681818
Natronincola peptidivorans--Clostridiaceae--EF382661 (Valid)	81.3920454545
Anaerocolumna cellulosilytica--Lachnospiraceae--AB298755 (Valid)	81.3837375178
Clostridium thermobutyricum--Clostridiaceae--X72868 (Valid)	81.3257305773
Clostridium aerotolerans--Clostridiaceae--X76163 (Valid)	81.2907904278
Clostridium grantii--Clostridiaceae--X75272 (Valid)	81.28113879
Clostridium alkalicellulosi--Clostridiaceae--AY959944 (Valid)	81.25
Lutispora thermophila--Clostridiaceae--AB186360 (Valid)	81.2051649928
Clostridium thermopalmarium--Clostridiaceae--X72869 (Valid)	81.1656005686
Clostridium celerecrescens--Clostridiaceae--X71848 (Valid)	81.1213626686
Clostridium amygdalinum--Clostridiaceae--AY353957 (Valid)	80.9728183119
Clostridium ganghwense--Clostridiaceae--AY903294 (Valid)	80.8908045977
Gracilibacter thermotolerans--Gracilibacteraceae--DQ117465 (Valid)	80.8646350106
Clostridium carnis--Clostridiaceae--M59091 (Valid)	80.7829181495
Clostridium aestuarii--Clostridiaceae--DQ126679 (Valid)	80.7471264368
Clostridium novyi--Clostridiaceae--AB045606 (Valid)	80.6034482759
Natronincola ferrireducens--Clostridiaceae--EU878275 (Valid)	80.4270462633
Ruminococcus gauvreauii--Ruminococcaceae--EF529620 (Valid)	80.316091954
Geosporobacter subterraneus--Clostridiaceae--DQ643978 (Valid)	80.1846590909
Caloranaerobacter azorensis--Clostridiaceae--AJ272422 (Valid)	79.8111837328
Thermotalea metallivorans--Clostridiaceae--EU443727 (Valid)	79.6875
Brassicibacter thermophilus--Clostridiaceae--KM277820 (Valid)	79.6242774566
