#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Caldisalinibacter_kiritimatiensis--GCF_000387765.1 as POCP was;	18.5482024273%
POCP suggests seperate genus between the input genome and Caloranaerobacter_azorensis--GCF_900129995.1 as POCP was;	18.7575831109%
POCP suggests seperate genus between the input genome and Thermotalea_metallivorans--GCF_001562415.1 as POCP was;	18.0004245383%
POCP suggests seperate genus between the input genome and Clostridium_frigidicarnis--GCF_900111985.1 as POCP was;	14.8028092923%
POCP suggests seperate genus between the input genome and Tepidibacter_mesophilus--GCF_002724055.1 as POCP was;	16.6494525924%
POCP suggests seperate genus between the input genome and Clostridium_thermopalmarium--GCF_002995795.1 as POCP was;	18.8575361321%
POCP suggests seperate genus between the input genome and Clostridium_homopropionicum--GCF_001263795.1 as POCP was;	16.7436489607%
POCP suggests seperate genus between the input genome and Clostridium_aerotolerans--GCF_000687555.1 as POCP was;	14.6689019279%
POCP suggests seperate genus between the input genome and Clostridium_celerecrescens--GCF_000732605.1 as POCP was;	14.2811552577%
POCP suggests seperate genus between the input genome and Lutispora_thermophila--GCF_900142105.1 as POCP was;	15.7605495584%
POCP suggests seperate genus between the input genome and Clostridium_amygdalinum--GCF_900205965.1 as POCP was;	13.9449271094%
POCP suggests seperate genus between the input genome and Catabacter_hongkongensis--GCF_000981035.1 as POCP was;	19.148020654%
POCP suggests seperate genus between the input genome and Clostridium_vincentii--GCF_002995745.1 as POCP was;	17.0837438424%
POCP suggests seperate genus between the input genome and Clostridium_septicum--GCF_900092375.1 as POCP was;	16.6174609869%
POCP suggests seperate genus between the input genome and Geosporobacter_subterraneus--GCF_900142145.1 as POCP was;	16.0316583839%
POCP suggests seperate genus between the input genome and Kineothrix_alysoides--GCF_000732725.1 as POCP was;	15.5930470348%
POCP suggests seperate genus between the input genome and Clostridium_butyricum--GCF_000409755.1 as POCP was;	15.4043865661%
POCP suggests seperate genus between the input genome and Clostridium_gasigenes--GCF_900104115.1 as POCP was;	15.8047541281%
POCP suggests seperate genus between the input genome and Clostridium_thermoalcaliphilum--GCF_002029295.1 as POCP was;	20.9720730397%
POCP suggests seperate genus between the input genome and Caldicoprobacter_oshimai--GCF_000526435.1 as POCP was;	22.0009483167%
POCP suggests seperate genus between the input genome and Clostridium_novyi--GCF_000014125.1 as POCP was;	19.2326856004%
POCP suggests seperate genus between the input genome and Clostridium_grantii--GCF_900129965.1 as POCP was;	15.0238744884%
POCP suggests seperate genus between the input genome and Natronincola_peptidivorans--GCF_900111615.1 as POCP was;	15.8951798011%
POCP suggests seperate genus between the input genome and Clostridium_uliginosum--GCF_900112485.1 as POCP was;	15.7093292213%
POCP suggests seperate genus between the input genome and Peptoclostridium_litorale--GCF_900141635.1 as POCP was;	17.0088610331%
POCP suggests seperate genus between the input genome and Alkaliphilus_transvaalensis--GCF_000621485.1 as POCP was;	15.298025466%
POCP suggests seperate genus between the input genome and Ruminococcus_gauvreauii--GCF_000425525.1 as POCP was;	16.8285976169%
POCP suggests seperate genus between the input genome and Christensenella_minuta--GCF_001652705.1 as POCP was;	20.6153155176%
POCP suggests seperate genus between the input genome and Clostridium_thermobutyricum--GCF_002050515.1 as POCP was;	16.9969356486%
POCP suggests seperate genus between the input genome and Tepidibacter_thalassicus--GCF_900129915.1 as POCP was;	18.5175751401%
POCP suggests seperate genus between the input genome and Natronincola_ferrireducens--GCF_900100845.1 as POCP was;	16.9835782195%
POCP suggests seperate genus between the input genome and Clostridium_indolis--GCF_000526995.1 as POCP was;	12.5438833378%
POCP suggests seperate genus between the input genome and Clostridium_chromiireducens--GCF_002029255.1 as POCP was;	13.6230091232%
