#Species	GC%
Slackia_exigua--GCF_000162875.1	62.1%
Verrucosispora_sediminis--GCF_900112325.1	70.97%
Eggerthella_lenta--GCF_000024265.1	64.2%
Collinsella_tanakaei--GCF_000225705.1	60.0%
Olsenella_profusa--GCF_000468755.1	64.17%
Collinsella_intestinalis--GCF_000156175.1	62.29%
Senegalimassilia_anaerobia--GCF_000236865.1	60.93%
Atopobium_parvulum--GCF_000024225.1	45.69%
Slackia_piriformis--GCF_000296445.1	57.17%
Enorma_massiliensis--GCF_000311845.1	61.5%
Atopobium_rimae--GCF_000174015.1	49.26%
Enterorhabdus_caecimuris--GCF_000403355.2	63.86%
Collinsella_stercoris--GCF_000156215.1	61.26%
Olsenella_scatoligenes--GCF_001494635.1	62.41%
Olsenella_umbonata--GCF_900105025.1	64.95%
Slackia_heliotrinireducens--GCF_000023885.1	60.21%
Gordonibacter_urolithinfaciens--GCF_900199375.1	66.1%
Olsenella_uli--GCF_000143845.1	64.7%
Acidothermus_cellulolyticus--GCF_000015025.1	66.91%
Atopobium_vaginae--GCF_000159235.2	42.66%
Coriobacterium_glomerans--GCF_000195315.1	60.39%
Atopobium_fossor--GCF_000483125.1	45.34%
Atopobium_minutum--GCF_001437015.1	48.68%
Cryptobacterium_curtum--GCF_000023845.1	50.91%
Gordonibacter_pamelaeae--GCF_000210055.1	60.43%
Adlercreutzia_equolifaciens--GCF_000478885.1	63.46%
Frankia_alni--GCF_000058485.1	72.83%
Collinsella_aerofaciens--GCF_000169035.1	60.55%
Collinsella_massiliensis--GCF_000333815.1	65.81%
Denitrobacterium_detoxificans--GCF_001643775.1	59.5%
Enterorhabdus_mucosicola--GCF_000422625.1	64.31%
