#Species	GC%
Stenotrophomonas_daejeonensis--GCF_001431505.1	68.56%
Pseudomonas_aeruginosa--GCF_001457615.1	66.52%
Xanthomonas_vasicola--GCF_000772705.2	63.32%
Xanthomonas_oryzae--GCF_000482445.1	63.65%
Stenotrophomonas_acidaminiphila--GCF_002951995.1	69.75%
Stenotrophomonas_maltophilia--GCF_002799215.1	66.75%
Stenotrophomonas_ginsengisoli--GCF_001431485.1	65.89%
Stenotrophomonas_chelatiphaga--GCF_001431535.1	66.84%
Luteimonas_huabeiensis--GCF_000559025.1	71.62%
Xanthomonas_campestris--GCF_000007145.1	65.07%
Xanthomonas_fragariae--GCF_900183975.1	62.22%
Stenotrophomonas_terrae--GCF_001431465.1	63.89%
Xanthomonas_pisi--GCF_002940045.1	65.13%
Xanthomonas_bromi--GCF_900092025.1	64.06%
Luteimonas_mephitis--GCF_000422305.1	68.46%
Xanthomonas_vesicatoria--GCF_001908725.1	64.06%
Xanthomonas_cassavae--GCF_000454545.1	65.13%
Stenotrophomonas_koreensis--GCF_001431525.1	66.11%
Pseudoxanthomonas_mexicana--GCF_001556105.1	66.55%
Stenotrophomonas_pavanii--GCF_900101175.1	67.19%
Stenotrophomonas_rhizophila--GCF_000661955.1	67.26%
Xanthomonas_theicola--GCA_002940605.1	68.42%
Stenotrophomonas_nitritireducens--GCF_001431425.1	68.34%
Xanthomonas_populi--GCA_002940065.1	63.3%
Pseudoxanthomonas_suwonensis--GCF_000972865.1	70.24%
Xanthomonas_perforans--GCF_001976075.1	64.93%
Xanthomonas_cucurbitae--GCF_002939885.1	65.43%
Stenotrophomonas_humi--GCF_001431415.1	64.05%
Xanthomonas_citri--GCA_002240395.1	68.93%
Xanthomonas_phaseoli--GCF_000774035.1	64.74%
Xanthomonas_maliensis--GCF_000401255.1	66.69%
Xanthomonas_codiaei--GCF_002939785.1	66.03%
Xanthomonas_sacchari--GCF_002940085.1	69.06%
Xanthomonas_arboricola--GCF_001013475.1	65.45%
Xanthomonas_hortorum--GCF_002940005.1	63.83%
Xanthomonas_cynarae--GCF_002939985.1	63.71%
Luteimonas_abyssi--GCF_001482195.1	69.13%
Xanthomonas_axonopodis--GCA_001304695.1	64.48%
Xanthomonas_dyei--GCF_002939865.1	64.28%
Stenotrophomonas_pictorum--GCF_001310775.1	65.67%
Pseudomonas_geniculata--GCF_001431625.1	66.18%
