#Species	GC%
Prevotella_baroniae--GCF_000426585.1	53.04%
Prevotella_stercorea--GCF_000235885.1	48.92%
Prevotella_bivia--GCF_000262545.1	39.84%
Prevotella_pleuritidis--GCF_000613725.1	44.98%
Prevotella_oryzae--GCF_000585355.1	36.96%
Prevotella_melaninogenica--GCF_000144405.1	40.98%
Prevotella_histicola--GCF_000613925.1	41.23%
Prevotella_oralis--GCF_000185145.2	44.45%
Prevotella_loescheii--GCF_000378085.1	46.57%
Prevotella_brevis--GCF_000621725.1	48.69%
Paraprevotella_clara--GCF_000233955.1	48.13%
Prevotella_salivae--GCF_000185845.1	39.66%
Prevotella_aurantiaca--GCF_000614025.1	38.94%
Prevotella_intermedia--GCF_001953955.1	43.44%
Prevotella_amnii--GCF_000378745.1	36.41%
Prevotella_enoeca--GCF_000613405.1	46.51%
Prevotella_colorans--GCA_003096815.1	46.16%
Prevotella_maculosa--GCF_000382385.1	47.36%
Prevotella_buccalis--GCF_000177075.1	45.31%
Prevotella_marshii--GCF_000146675.1	46.68%
Prevotella_buccae--GCF_000184945.1	50.07%
Prevotella_corporis--GCF_000430525.1	43.98%
Prevotella_falsenii--GCF_000613945.1	44.02%
Prevotella_veroralis--GCF_000377625.1	41.75%
Prevotella_nigrescens--GCF_000220235.1	41.7%
Prevotella_oris--GCF_000613505.1	43.84%
Prevotella_nanceiensis--GCF_000379965.1	38.33%
Prevotella_bergensis--GCF_000160535.1	46.59%
Prevotella_multiformis--GCF_000191065.1	51.22%
Paraprevotella_xylaniphila--GCF_000205165.1	48.51%
Prevotella_paludivivens--GCF_000373185.1	37.29%
Prevotella_bryantii--GCF_000179055.1	39.05%
Prevotella_saccharolytica--GCF_000614205.1	43.3%
Prevotella_copri--GCF_000157935.1	44.8%
Prevotella_jejuni--GCF_900187995.1	41.75%
Prevotella_oulorum--GCF_000613785.1	46.8%
Prevotella_disiens--GCF_000613345.1	39.87%
Prevotella_scopos--GCF_001683355.1	40.71%
Prevotella_denticola--GCF_000613585.1	49.99%
Prevotella_ruminicola--GCF_900107775.1	47.53%
Prevotella_shahii--GCF_000613445.1	44.38%
Prevotella_albensis--GCF_000426565.1	41.19%
Hallella_seregens--GCF_000518545.1	55.94%
Prevotella_multisaccharivorax--GCF_000218235.1	48.29%
Prevotella_fusca--GCF_001262015.1	44.12%
Prevotella_dentasini--GCF_000614065.1	50.58%
Prevotella_micans--GCF_000614105.1	45.49%
Prevotella_timonensis--GCF_000455445.1	41.3%
