#Matching species	Similarity (%)
Terrisporobacter mayombei--Clostridiaceae--FR733682 (Valid)	99.2371705964
Terrisporobacter glycolicus--Clostridiaceae--X76750 (Valid)	99.1614255765
Terrisporobacter petrolearius--Clostridiaceae--KJ000015 (Valid)	98.1468282252
Intestinibacter bartlettii--Clostridiaceae--AY438672 (Valid)	96.9209237229
Romboutsia ilealis--Clostridiaceae--JN381505 (Valid)	96.3296398892
Asaccharospora irregularis--Clostridiaceae--X73447 (Valid)	96.3014654571
Romboutsia sedimentorum--Clostridiaceae--KF443808 (Valid)	95.8924570575
Paraclostridium benzoelyticum--Clostridiaceae--LN846800 (Valid)	95.4892435808
Paraclostridium bifermentans--Clostridiaceae--AVNC01000016 (Valid)	95.3504510756
Romboutsia lituseburensis--Clostridiaceae--M59107 (Valid)	94.9375866852
Eubacterium tenue--Eubacteriaceae--FR749984 (Valid)	94.6601941748
Paeniclostridium sordellii--Clostridiaceae--AB075771 (Valid)	94.6229050279
Paeniclostridium ghonii--Clostridiaceae--X73451 (Valid)	94.3671766342
Clostridioides difficile--Clostridiaceae--AB075770 (Valid)	93.1154381085
Clostridium hiranonis--Clostridiaceae--AB023970 (Valid)	93.1083991385
Clostridioides mangenotii--Clostridiaceae--FR733662 (Valid)	92.9313929314
Sporacetigenium mesophilum--Peptostreptococcaceae--AY682207 (Valid)	91.7998610146
Peptostreptococcus anaerobius--Peptostreptococcaceae--AY326462 (Valid)	91.0552061495
Peptostreptococcus russellii--Peptostreptococcaceae--AY167952 (Valid)	91.0416666667
Peptostreptococcus stomatis--Peptostreptococcaceae--DQ160208 (Valid)	90.7940969782
Peptoclostridium litorale--Clostridiaceae--X77845 (Valid)	90.4329608939
Clostridium thermoalcaliphilum--Clostridiaceae--FR749954 (Valid)	90.3606102635
Tepidibacter mesophilus--Peptostreptococcaceae--GQ231514 (Valid)	90.1052631579
Tepidibacter formicigenes--Peptostreptococcaceae--AY245527 (Valid)	89.4545454545
Acetoanaerobium pronyense--Unclassified Clostridiales--KJ174056 (Valid)	89.1592920354
Alkaliphilus transvaalensis--Clostridiaceae--AB037677 (Valid)	89.1096394408
Wukongibacter baidiensis--Peptostreptococcaceae--KT783480 (Valid)	88.9901823282
Tepidibacter thalassicus--Peptostreptococcaceae--AY158079 (Valid)	88.9048991354
Peptostreptococcus canis--Peptostreptococcaceae--HE687281 (Valid)	88.7857142857
Proteocatella sphenisci--Unclassified Clostridiales--AF450134 (Valid)	88.5292047854
Alkaliphilus peptidifermentans--Clostridiaceae--EF382660 (Valid)	88.4642112578
Marinisporobacter balticus--Unclassified Clostridiales--KX822012 (Valid)	88.418079096
Peptoclostridium acidaminophilum--Eubacteriaceae--AF071416 (Valid)	88.3947185546
Anaerosolibacter carboniphilus--Clostridiaceae--KF601947 (Valid)	88.3537023724
Salimesophilobacter vulgaris--Clostridiaceae--HQ880422 (Valid)	88.3171070932
Fusibacter paucivorans--Unclassified Clostridiales--AF050099 (Valid)	88.125
Alkaliphilus namsaraevii--Clostridiaceae--KJ196388 (Valid)	88.1167477415
Anaerovorax odorimutans--Unclassified Clostridiales--AJ251215 (Valid)	88.0168185004
Natronincola histidinovorans--Clostridiaceae--Y16716 (Valid)	87.9189944134
Clostridium paradoxum--Clostridiaceae--Z69929 (Valid)	87.8640776699
Alkaliphilus halophilus--Clostridiaceae--EU627628 (Valid)	87.7723120169
Crassaminicella profunda--Unclassified Clostridiales--KC329523 (Valid)	87.684729064
Acetoanaerobium noterae--Unclassified Clostridiales--GU562448 (Valid)	87.5886524823
Anaerovirgula multivorans--Unclassified Clostridiales--AB201750 (Valid)	87.3867595819
Brassicibacter mesophilus--Clostridiaceae--GU645013 (Valid)	87.3772791024
Clostridium aceticum--Clostridiaceae--Y18183 (Valid)	86.7309117865
Alkaliphilus crotonatoxidans--Clostridiaceae--AF467248 (Valid)	86.6574009729
Geosporobacter subterraneus--Clostridiaceae--DQ643978 (Valid)	86.4619678995
Anaeromicrobium sediminis--Clostridiaceae--KJ137882 (Valid)	85.6735566643
Paramaledivibacter caminithermalis--Peptostreptococcaceae--AF458779 (Valid)	85.5855855856
