#Species	GC%
Alkaliphilus_peptidifermentans--GCF_900101495.1	34.09%
Romboutsia_ilealis--GCA_900015215.1	27.83%
Paeniclostridium_sordellii--GCA_000953675.1	27.28%
Clostridioides_mangenotii--GCF_000687955.1	31.55%
Proteocatella_sphenisci--GCF_000423525.1	36.41%
Clostridium_aceticum--GCF_001042715.1	35.28%
Clostridium_hiranonis--GCF_000156055.1	30.31%
Clostridium_thermoalcaliphilum--GCF_002029295.1	30.99%
Paraclostridium_bifermentans--GCF_000452245.2	28.39%
Alkaliphilus_transvaalensis--GCF_000621485.1	33.95%
Asaccharospora_irregularis--GCF_900129815.1	30.27%
Peptostreptococcus_stomatis--GCF_000147675.1	36.66%
Tepidibacter_mesophilus--GCF_002724055.1	28.85%
Clostridium_butyricum--GCF_000409755.1	28.5%
Tepidibacter_formicigenes--GCF_900142235.1	27.68%
Acetoanaerobium_noterae--GCF_900168025.1	33.31%
Anaerovirgula_multivorans--GCF_900188145.1	34.93%
Terrisporobacter_glycolicus--GCF_000439105.1	28.37%
Peptostreptococcus_anaerobius--GCF_000381525.1	35.7%
Tepidibacter_thalassicus--GCF_900129915.1	27.86%
Anaeromicrobium_sediminis--GCF_002270055.1	31.26%
Peptoclostridium_acidaminophilum--GCF_000597865.1	44.08%
Clostridium_paradoxum--GCF_001584565.1	30.25%
Romboutsia_lituseburensis--GCF_900103615.1	27.63%
Peptostreptococcus_russellii--GCF_900110295.1	30.77%
Paramaledivibacter_caminithermalis--GCF_900142245.1	30.52%
Geosporobacter_subterraneus--GCF_900142145.1	40.34%
Intestinibacter_bartlettii--GCF_000154445.1	28.83%
Peptoclostridium_litorale--GCF_900141635.1	41.18%
Paraclostridium_benzoelyticum--GCF_001006285.1	28.25%
Anaerovorax_odorimutans--GCF_000426305.1	31.49%
Clostridioides_difficile--GCF_000438845.1	28.37%
