#Species	GC%
Clostridium_thermoalcaliphilum--GCF_002029295.1	30.99%
Paraclostridium_bifermentans--GCF_000452245.2	28.39%
Pseudobacteroides_cellulosolvens--GCF_001262605.1	35.55%
Clostridium_hungatei--GCF_002051585.1	42.27%
Clostridium_thermosuccinogenes--GCF_002896855.1	41.54%
Sporanaerobacter_acetigenes--GCF_900130025.1	31.15%
Faecalicatena_contorta--GCF_003149105.1	42.03%
Christensenella_minuta--GCF_001652705.1	51.47%
Hespellia_stercorisuis--GCF_900142165.1	45.24%
Clostridium_septicum--GCF_900092375.1	27.51%
Clostridium_novyi--GCF_000014125.1	28.86%
Clostridium_butyricum--GCF_000409755.1	28.5%
Clostridium_cellulolyticum--GCF_000022065.1	37.4%
Clostridium_chauvoei--GCF_002327185.1	28.28%
Clostridium_papyrosolvens--GCF_000175795.2	37.02%
Clostridium_sufflavum--GCF_003208175.1	38.62%
Clostridium_chromiireducens--GCF_002029255.1	30.12%
Clostridium_beijerinckii--GCA_003129525.1	29.31%
Acetivibrio_cellulolyticus--GCF_000179595.2	35.49%
Anaerovirgula_multivorans--GCF_900188145.1	34.93%
Clostridium_tertium--GCF_900217175.1	27.78%
Faecalicatena_orotica--GCF_003149245.1	44.74%
Clostridium_termitidis--GCF_000350485.1	41.2%
Clostridium_sartagoforme--GCF_000401215.1	27.91%
Clostridium_cellobioparum--GCF_000621505.1	41.32%
Robinsoniella_peoriensis--GCF_000797495.1	41.15%
Clostridium_amylolyticum--GCF_900142075.1	32.07%
Paraclostridium_benzoelyticum--GCF_001006285.1	28.25%
Thermotalea_metallivorans--GCF_001562415.1	40.3%
