#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Hungatella_effluvii--GCF_003201875.1 as POCP was;	15.2448258455%
POCP suggests seperate genus between the input genome and Hungatella_hathewayi--GCF_000235505.1 as POCP was;	14.7603027754%
POCP suggests seperate genus between the input genome and Faecalicatena_orotica--GCF_003149245.1 as POCP was;	16.883480207%
POCP suggests seperate genus between the input genome and Thermotalea_metallivorans--GCF_001562415.1 as POCP was;	19.5919175911%
POCP suggests seperate genus between the input genome and Clostridium_amylolyticum--GCF_900142075.1 as POCP was;	16.1803713528%
POCP suggests seperate genus between the input genome and Alkaliphilus_peptidifermentans--GCF_900101495.1 as POCP was;	16.6666666667%
POCP suggests seperate genus between the input genome and Butyrivibrio_fibrisolvens--GCF_900129945.1 as POCP was;	15.1625144366%
POCP suggests seperate genus between the input genome and Robinsoniella_peoriensis--GCF_000797495.1 as POCP was;	15.6361323155%
POCP suggests seperate genus between the input genome and Acetivibrio_cellulolyticus--GCF_000179595.2 as POCP was;	15.6876688949%
POCP suggests seperate genus between the input genome and Clostridium_chauvoei--GCF_002327185.1 as POCP was;	18.9644150863%
POCP suggests seperate genus between the input genome and Clostridium_cellobioparum--GCF_000621505.1 as POCP was;	16.1777032691%
POCP suggests seperate genus between the input genome and Clostridium_cellulolyticum--GCF_000022065.1 as POCP was;	18.3261183261%
POCP suggests seperate genus between the input genome and Acidaminobacter_hydrogenoformans--GCF_900103005.1 as POCP was;	16.9747265183%
POCP suggests seperate genus between the input genome and Clostridium_amygdalinum--GCF_900205965.1 as POCP was;	15.5022446689%
POCP suggests seperate genus between the input genome and Catabacter_hongkongensis--GCF_000981035.1 as POCP was;	21.5847542628%
POCP suggests seperate genus between the input genome and Lactonifactor_longoviformis--GCF_900129135.1 as POCP was;	17.7944862155%
POCP suggests seperate genus between the input genome and Clostridium_perfringens--GCF_000013285.1 as POCP was;	18.6354378819%
POCP suggests seperate genus between the input genome and Pseudobacteroides_cellulosolvens--GCF_001262605.1 as POCP was;	13.5264483627%
POCP suggests seperate genus between the input genome and Kineothrix_alysoides--GCF_000732725.1 as POCP was;	16.5511684126%
POCP suggests seperate genus between the input genome and Clostridium_hungatei--GCF_002051585.1 as POCP was;	16.5844341875%
POCP suggests seperate genus between the input genome and Butyrivibrio_crossotus--GCF_000156015.1 as POCP was;	20.7036535859%
POCP suggests seperate genus between the input genome and Clostridium_sartagoforme--GCF_000401215.1 as POCP was;	17.5756568008%
POCP suggests seperate genus between the input genome and Clostridium_butyricum--GCF_000409755.1 as POCP was;	16.6693665965%
POCP suggests seperate genus between the input genome and Clostridium_tertium--GCF_900217175.1 as POCP was;	17.2920629431%
POCP suggests seperate genus between the input genome and Faecalicatena_contorta--GCF_003149105.1 as POCP was;	17.1736375158%
POCP suggests seperate genus between the input genome and Clostridium_termitidis--GCF_000350485.1 as POCP was;	15.9994571855%
POCP suggests seperate genus between the input genome and Parasporobacterium_paucivorans--GCF_900141895.1 as POCP was;	19.4793331811%
POCP suggests seperate genus between the input genome and Vallitalea_guaymasensis--GCA_003313305.1 as POCP was;	14.4903007421%
POCP suggests seperate genus between the input genome and Clostridium_sufflavum--GCF_003208175.1 as POCP was;	18.3914114748%
POCP suggests seperate genus between the input genome and Alkaliphilus_transvaalensis--GCF_000621485.1 as POCP was;	16.6782487839%
POCP suggests seperate genus between the input genome and Clostridium_bornimense--GCF_000577895.1 as POCP was;	18.7147688839%
POCP suggests seperate genus between the input genome and Christensenella_minuta--GCF_001652705.1 as POCP was;	22.9853862213%
POCP suggests seperate genus between the input genome and Clostridium_clariflavum--GCF_000237085.1 as POCP was;	17.5416133163%
POCP suggests seperate genus between the input genome and Clostridium_tepidiprofundi--GCF_001594005.1 as POCP was;	17.8841309824%
POCP suggests seperate genus between the input genome and Natronincola_ferrireducens--GCF_900100845.1 as POCP was;	18.4894259819%
POCP suggests seperate genus between the input genome and Clostridium_papyrosolvens--GCF_000175795.2 as POCP was;	17.3269689737%
