#Matching species	Similarity (%)
Catabacter hongkongensis--Unclassified Clostridiales--AY574991 (Valid)	85.6840620592
Christensenella minuta--Christensenellaceae--AB490809 (Valid)	84.668989547
Vallitalea guaymasensis--Unclassified Clostridiales--HE805640 (Valid)	84.4017094017
Caldicoprobacter guelmensis--Caldicoprobacteraceae--JQ707908 (Valid)	84.4011142061
Caldicoprobacter faecalis--Caldicoprobacteraceae--FR749980 (Valid)	84.2727905358
Abyssivirga alkaniphila--Lachnospiraceae--KP233895 (Valid)	84.1480446927
Kineothrix alysoides--Lachnospiraceae--KX356505 (Valid)	83.8522809558
Vallitalea pronyensis--Unclassified Clostridiales--KC876639 (Valid)	83.7988826816
Saccharofermentans acetigenes--Clostridiaceae--AY949857 (Valid)	83.7743732591
Alkaliphilus namsaraevii--Clostridiaceae--KJ196388 (Valid)	83.7176799441
Acetivibrio cellulolyticus--Ruminococcaceae--L35516 (Valid)	83.649122807
Alkaliphilus peptidifermentans--Clostridiaceae--EF382660 (Valid)	83.6477987421
Natranaerovirga pectinivora--Unclassified Clostridiales--GQ922846 (Valid)	83.635097493
Clostridium papyrosolvens--Clostridiaceae--X71852 (Valid)	83.6122733612
Clostridium tarantellae--Clostridiaceae--FR733677 (Valid)	83.4497206704
Clostridium tepidiprofundi--Clostridiaceae--EF197795 (Valid)	83.2867132867
Lactonifactor longoviformis--Clostridiaceae--DQ100449 (Valid)	83.2855093257
Marinisporobacter balticus--Unclassified Clostridiales--KX822012 (Valid)	83.2508833922
Clostridium aldrichii--Clostridiaceae--X71846 (Valid)	83.2055749129
Acidaminobacter hydrogenoformans--Unclassified Clostridiales--AF016691 (Valid)	83.2044975404
Anaerotaenia torta--Lachnospiraceae--AB298768 (Valid)	83.1358885017
Clostridium aestuarii--Clostridiaceae--DQ126679 (Valid)	83.1104855735
Clostridium termitidis--Clostridiaceae--FR733680 (Valid)	83.008356546
Hungatella hathewayi--Clostridiaceae--AJ311620 (Valid)	83.0
Clostridium cellobioparum--Clostridiaceae--X71856 (Valid)	82.938718663
Clostridium alkalicellulosi--Clostridiaceae--AY959944 (Valid)	82.938718663
Faecalicatena contorta--Lachnospiraceae--FR749946 (Valid)	82.9268292683
Robinsoniella peoriensis--Lachnospiraceae--AF445285 (Valid)	82.9268292683
Faecalicatena orotica--Lachnospiraceae--FR749917 (Valid)	82.9268292683
Butyrivibrio crossotus--Lachnospiraceae--ABWN01000012 (Valid)	82.7994428969
Falcatimonas natans--Lachnospiraceae--AB298726 (Valid)	82.787456446
Clostridium tertium--Clostridiaceae--Y18174 (Valid)	82.7851644507
Clostridium bornimense--Clostridiaceae--JQ388596 (Valid)	82.7814569536
Clostridium sartagoforme--Clostridiaceae--Y18175 (Valid)	82.693649686
Clostridium sufflavum--Clostridiaceae--AB267266 (Valid)	82.6271186441
Clostridium perfringens--Clostridiaceae--CP000246 (Valid)	82.6238660154
Parasporobacterium paucivorans--Lachnospiraceae--AJ272036 (Valid)	82.6208829713
Clostridium amygdalinum--Clostridiaceae--AY353957 (Valid)	82.6117318436
Clostridium cellulolyticum--Clostridiaceae--X71847 (Valid)	82.4842986741
Clostridium colicanis--Clostridiaceae--AJ420008 (Valid)	82.4771287825
Pseudobacteroides cellulosolvens--Ruminococcaceae--HE862234 (Valid)	82.4390243902
Clostridium amylolyticum--Clostridiaceae--EU037903 (Valid)	82.3816155989
Clostridium chauvoei--Clostridiaceae--U51843 (Valid)	82.2996515679
Clostridium hungatei--Clostridiaceae--FR749966 (Valid)	82.1478382148
Gracilibacter thermotolerans--Gracilibacteraceae--DQ117465 (Valid)	82.0694542877
Hungatella effluvii--Clostridiaceae--HE603919 (Valid)	81.7403708987
Clostridium clariflavum--Clostridiaceae--AB186359 (Valid)	81.7287420942
Natronincola ferrireducens--Clostridiaceae--EU878275 (Valid)	81.6655003499
Hespellia porcina--Lachnospiraceae--AF445239 (Valid)	80.7665505226
Thermotalea metallivorans--Clostridiaceae--EU443727 (Valid)	80.5303558967
