#Species	GC%
Kineothrix_alysoides--GCF_000732725.1	42.74%
Clostridium_amygdalinum--GCF_900205965.1	41.29%
Clostridium_indolis--GCF_000526995.1	44.93%
Roseburia_faecis--GCF_001405615.1	42.91%
Hungatella_effluvii--GCF_003201875.1	48.96%
Hungatella_hathewayi--GCF_000235505.1	49.63%
Blautia_schinkii--GCF_000702025.1	45.59%
Clostridium_aerotolerans--GCF_000687555.1	42.37%
Clostridium_saccharolyticum--GCF_000144625.1	45.0%
Fusicatenibacter_saccharivorans--GCF_001405555.1	47.0%
Ruminococcus_faecis--GCF_001312505.1	41.16%
Faecalicatena_contorta--GCF_003149105.1	42.03%
Eisenbergiella_tayi--GCF_001881565.1	46.76%
Roseburia_hominis--GCF_000225345.1	48.5%
Clostridium_clostridioforme--GCF_900113155.1	48.95%
Clostridium_glycyrrhizinilyticum--GCF_001311035.1	45.33%
Blautia_producta--GCF_000373885.1	45.68%
Clostridium_butyricum--GCF_000409755.1	28.5%
Blautia_coccoides--GCF_002221555.2	45.7%
Clostridium_citroniae--GCF_000233455.1	48.76%
Roseburia_intestinalis--GCF_000156535.1	42.34%
Murimonas_intestini--GCF_003148945.1	45.46%
Blautia_wexlerae--GCF_000484655.1	41.41%
Clostridium_bolteae--GCF_002234575.2	49.05%
Blautia_obeum--GCF_000153905.1	41.58%
Ruminococcus_gauvreauii--GCF_000425525.1	47.6%
Acetatifactor_muris--GCF_900248245.1	47.7%
Faecalicatena_fissicatena--GCF_001028025.1	45.55%
Blautia_hydrogenotrophica--GCF_000157975.1	44.3%
Clostridium_sphenoides--GCF_900105615.1	43.77%
Blautia_hansenii--GCF_002222595.2	39.04%
Clostridium_celerecrescens--GCF_000732605.1	43.51%
Faecalicatena_orotica--GCF_003149245.1	44.74%
Bacteroides_pectinophilus--GCF_000155855.1	41.89%
Marvinbryantia_formatexigens--GCF_000173815.1	49.55%
Robinsoniella_peoriensis--GCF_000797495.1	41.15%
Eubacterium_oxidoreducens--GCF_900104415.1	39.83%
Eubacterium_limosum--GCF_000807675.2	47.19%
Desulfotomaculum_nigrificans--GCF_000189755.2	46.27%
Desulfotomaculum_guttoideum--GCF_900105215.1	43.41%
Ruminococcus_gnavus--GCF_002959615.1	42.85%
