#Matching species	Similarity (%)
Bacillus drentensis--Bacillaceae--AJ542506 (Valid)	98.1779957954
Bacillus soli--Bacillaceae--AJ542513 (Valid)	97.9181124219
Bacillus novalis--Bacillaceae--AJ542512 (Valid)	97.7867203219
Bacillus cucumis--Bacillaceae--KT895286 (Valid)	97.6760082023
Bacillus vireti--Bacillaceae--AJ542509 (Valid)	97.6223776224
Bacillus bataviensis--Bacillaceae--AJ542508 (Valid)	97.5855130785
Bacillus niacini--Bacillaceae--AB021194 (Valid)	97.4666666667
Bacillus mesonae--Bacillaceae--JX262263 (Valid)	97.4162011173
Bacillus fumarioli--Bacillaceae--AJ250056 (Valid)	97.2013651877
Bacillus pocheonensis--Bacillaceae--AB245377 (Valid)	97.1868720697
Bacillus foraminis--Bacillaceae--AJ717382 (Valid)	96.8
Bacillus ginsengisoli--Bacillaceae--HQ224517 (Valid)	96.7988865692
Bacillus subterraneus--Bacillaceae--FR733689 (Valid)	96.6
Bacillus stamsii--Bacillaceae--AY189804 (Valid)	96.5517241379
Bacillus thioparans--Bacillaceae--DQ371431 (Valid)	96.4673913043
Bacillus campisalis--Bacillaceae--AB859673 (Valid)	96.4477211796
Bacillus zeae--Bacillaceae--KY114944 (Valid)	96.4432284542
Bacillus jeotgali--Bacillaceae--AF221061 (Valid)	96.3782696177
Bacillus depressus--Bacillaceae--KP259553 (Valid)	96.2988348184
Bacillus maritimus--Bacillaceae--KP317497 (Valid)	96.2
Bacillus boroniphilus--Bacillaceae--AB198719 (Valid)	96.1641991925
Bacillus thermocopriae--Bacillaceae--JX113681 (Valid)	96.0580912863
Bacillus persicus--Bacillaceae--HQ433471 (Valid)	95.99170698
Bacillus oryzisoli--Bacillaceae--KT886063 (Valid)	95.922459893
Bacillus gottheilii--Bacillaceae--FN995266 (Valid)	95.8666666667
Bacillus rigiliprofundi--Bacillaceae--KJ630837 (Valid)	95.8666666667
Bacillus circulans--Bacillaceae--AY043084 (Valid)	95.7575757576
Bacillus huizhouensis--Bacillaceae--KJ464756 (Valid)	95.6849315068
Bacillus nealsonii--Bacillaceae--EU656111 (Valid)	95.6550802139
Bacillus massiliosenegalensis--Bacillaceae--JF824800 (Valid)	95.5509924709
Brevibacterium frigoritolerans--Brevibacteriaceae--AM747813 (Valid)	95.4
Bacillus eiseniae--Bacillaceae--HM035089 (Valid)	95.4
Bacillus asahii--Bacillaceae--AB109209 (Valid)	95.3753351206
Bacillus herbersteinensis--Bacillaceae--AJ781029 (Valid)	95.3551912568
Bacillus beringensis--Bacillaceae--FJ889576 (Valid)	95.3333333333
Bacillus formosensis--Bacillaceae--KR534504 (Valid)	95.3302201468
Bacillus psychrosaccharolyticus--Bacillaceae--AB021195 (Valid)	95.2798381659
Bacillus firmus--Bacillaceae--D16268 (Valid)	95.2798381659
Bacillus horikoshii--Bacillaceae--AB043865 (Valid)	95.2666666667
Bacillus muralis--Bacillaceae--AJ316309 (Valid)	95.2380952381
Bacillus simplex--Bacillaceae--AJ439078 (Valid)	95.1967978652
Bacillus methanolicus--Bacillaceae--AB112727 (Valid)	95.1039570758
Bacillus kochii--Bacillaceae--FN995265 (Valid)	95.0633755837
Bacillus flexus--Bacillaceae--AB021185 (Valid)	94.9333333333
Bacillus humi--Bacillaceae--AJ627210 (Valid)	94.9027498323
Bacillus megaterium--Bacillaceae--D16273 (Valid)	94.74393531
Bacillus infernus--Bacillaceae--U20385 (Valid)	94.7333333333
Bacillus lentus--Bacillaceae--AB021189 (Valid)	94.6666666667
Bacillus malikii--Bacillaceae--AB968093 (Valid)	94.6308724832
Bacillus songklensis--Bacillaceae--JN036548 (Valid)	94.5333333333
