#Matching species	Similarity (%)
Roseburia inulinivorans--Lachnospiraceae--AJ270473 (Valid)	91.5362731152
Murimonas intestini--Lachnospiraceae--KC311366 (Valid)	91.0814606742
Roseburia faecis--Lachnospiraceae--AY305310 (Valid)	90.9473684211
Ruminococcus gnavus--Ruminococcaceae--X94967 (Valid)	90.8899789769
Clostridium aldenense--Clostridiaceae--DQ279736 (Valid)	90.8303249097
Faecalimonas umbilicata--Lachnospiraceae--LC192831 (Valid)	90.6797477225
Ruminococcus faecis--Ruminococcaceae--FJ611794 (Valid)	90.6428571429
Roseburia hominis--Lachnospiraceae--AJ270482 (Valid)	90.4695164681
Clostridium glycyrrhizinilyticum--Clostridiaceae--AB233029 (Valid)	90.4628330996
Clostridium saccharolyticum--Clostridiaceae--Y18185 (Valid)	90.4628330996
Desulfotomaculum guttoideum--Peptococcaceae--Y11568 (Valid)	90.4561403509
Eubacterium oxidoreducens--Eubacteriaceae--FR733672 (Valid)	90.406162465
Robinsoniella peoriensis--Lachnospiraceae--AF445285 (Valid)	90.3927068724
Ruminococcus gauvreauii--Ruminococcaceae--EF529620 (Valid)	90.2953586498
Blautia coccoides--Unclassified Clostridiales--AB571656 (Valid)	90.252454418
Clostridium indolis--Clostridiaceae--Y18184 (Valid)	90.2456140351
Fusicatenibacter saccharivorans--Clostridiaceae--AB698910 (Valid)	90.2386117137
Clostridium amygdalinum--Clostridiaceae--AY353957 (Valid)	90.1823281907
Clostridium celerecrescens--Clostridiaceae--X71848 (Valid)	90.1823281907
Roseburia intestinalis--Lachnospiraceae--AJ312385 (Valid)	90.1823281907
Blautia hydrogenotrophica--Unclassified Clostridiales--X95624 (Valid)	90.1052631579
Clostridium scindens--Clostridiaceae--AF262238 (Valid)	90.0629811057
Clostridium fimetarium--Clostridiaceae--AF126687 (Valid)	90.0420757363
Pseudobutyrivibrio ruminis--Lachnospiraceae--X95893 (Valid)	89.9789768746
Clostridium sphenoides--Clostridiaceae--AB075772 (Valid)	89.9437412096
Faecalicatena contorta--Lachnospiraceae--FR749946 (Valid)	89.9159663866
Clostridium methoxybenzovorans--Clostridiaceae--AF067965 (Valid)	89.8947368421
Muricomes intestini--Unclassified Clostridiales--KR364770 (Valid)	89.8561151079
Agathobacter ruminis--Lachnospiraceae--KT229569 (Valid)	89.8530440868
Coprococcus comes--Lachnospiraceae--EF031542 (Valid)	89.8030942335
Clostridium nexile--Clostridiaceae--X73443 (Valid)	89.8030942335
Clostridium algidixylanolyticum--Clostridiaceae--AF092549 (Valid)	89.7615708275
Blautia schinkii--Unclassified Clostridiales--X94965 (Valid)	89.7058823529
Lactobacillus rogosae--Lactobacillaceae--GU269544 (Valid)	89.6965419901
Faecalicatena orotica--Lachnospiraceae--FR749917 (Valid)	89.6358543417
Bacteroides pectinophilus--Bacteroidaceae--ABVQ01000036 (Valid)	89.6213183731
Extibacter muris--Clostridiaceae--KR364761 (Valid)	89.6131805158
Falcatimonas natans--Lachnospiraceae--AB298726 (Valid)	89.5658263305
Bacteroides galacturonicus--Bacteroidaceae--DQ497994 (Valid)	89.5511921459
Anaerocolumna cellulosilytica--Lachnospiraceae--AB298755 (Valid)	89.5438596491
Eubacterium hadrum--Eubacteriaceae--FR749932 (Valid)	89.5031490553
Faecalicatena fissicatena--Lachnospiraceae--FR749936 (Valid)	89.4957983193
Acetivibrio ethanolgignens--Ruminococcaceae--FR749897 (Valid)	89.488437281
Clostridium bolteae--Clostridiaceae--AJ508452 (Valid)	89.4109396914
Anaerostipes caccae--Lachnospiraceae--AJ270487 (Valid)	89.3631910427
Anaerostipes rhamnosivorans--Lachnospiraceae--JX273468 (Valid)	89.3555394642
Marvinbryantia formatexigens--Lachnospiraceae--AJ505973 (Valid)	89.3408134642
Clostridium aerotolerans--Clostridiaceae--X76163 (Valid)	89.3333333333
Blautia obeum--Ruminococcaceae--X85101 (Valid)	88.5234429671
Blautia wexlerae--Unclassified Clostridiales--EF036467 (Valid)	88.2889200561
