#Species	GC%
Lactobacillus_amylolyticus--GCF_000178475.1	38.27%
Lactobacillus_gigeriorum--GCF_000296855.1	36.93%
Lactobacillus_versmoldensis--GCF_001434295.1	38.26%
Lactobacillus_panis--GCF_001435935.1	48.07%
Lactobacillus_apis--GCF_002837055.1	36.5%
Lactobacillus_kitasatonis--GCF_000615285.1	37.5%
Lactobacillus_tucceti--GCF_001434665.1	34.06%
Lactobacillus_amylovorus--GCF_002706375.1	37.83%
Lactobacillus_psittaci--GCF_000425905.1	35.59%
Lactobacillus_amylophilus--GCF_001936335.1	43.65%
Lactobacillus_kalixensis--GCF_001434335.1	36.09%
Lactobacillus_jensenii--GCF_000159335.1	34.31%
Lactobacillus_johnsonii--GCF_000159355.1	34.32%
Lactobacillus_nodensis--GCF_000615905.1	37.56%
Lactobacillus_iners--GCF_000160875.1	32.3%
Lactobacillus_kullabergensis--GCF_000967195.1	34.87%
Lactobacillus_antri--GCF_000160835.1	49.77%
Lactobacillus_intestinalis--GCF_001435325.1	35.34%
Lactobacillus_melliventris--GCF_000970775.1	35.51%
Lactobacillus_manihotivorans--GCF_001435035.1	47.69%
Lactobacillus_acidophilus--GCF_001591845.1	34.59%
Lactobacillus_kimbladii--GCF_000970755.1	35.12%
Lactobacillus_delbrueckii--GCF_001433875.1	49.93%
Lactobacillus_acetotolerans--GCF_001436775.1	36.25%
Lactobacillus_gasseri--GCF_000014425.1	35.26%
Lactobacillus_helveticus--GCF_000160855.1	32.92%
Lactobacillus_taiwanensis--GCF_001436695.1	33.94%
Lactobacillus_pasteurii--GCF_000297025.1	38.61%
Lactobacillus_gallinarum--GCF_000614735.1	36.47%
Lactobacillus_helsingborgensis--GCF_000970855.1	35.76%
Lactobacillus_frumenti--GCF_001436045.1	42.55%
Lactobacillus_equicursoris--GCA_001311765.1	47.84%
Lactobacillus_pontis--GCF_001435345.1	53.36%
Lactobacillus_vaginalis--GCF_000159435.1	39.08%
Lactobacillus_hamsteri--GCF_000615445.1	35.08%
Lactobacillus_ultunensis--GCF_001436305.1	35.95%
Lactobacillus_crispatus--GCF_002088015.1	36.62%
Lactobacillus_kefiranofaciens--GCF_900103655.1	37.21%
