#Species	GC%
Alkaliphilus_peptidifermentans--GCF_900101495.1	34.09%
Romboutsia_ilealis--GCA_900015215.1	27.83%
Mogibacterium_diversum--GCF_002998925.1	40.96%
Eubacterium_saphenum--GCF_000161975.1	40.55%
Clostridium_hiranonis--GCF_000156055.1	30.31%
Clostridiisalibacter_paucivorans--GCF_000620125.1	31.32%
Alkaliphilus_transvaalensis--GCF_000621485.1	33.95%
Maledivibacter_halophilus--GCF_900167445.1	31.1%
Peptostreptococcus_stomatis--GCF_000147675.1	36.66%
Eubacterium_brachy--GCF_000488855.1	37.89%
Eubacterium_pyruvativorans--GCF_900102225.1	54.84%
Clostridium_butyricum--GCF_000409755.1	28.5%
Mogibacterium_timidum--GCF_000525775.1	44.3%
Acetoanaerobium_noterae--GCF_900168025.1	33.31%
Acidaminobacter_hydrogenoformans--GCF_900103005.1	48.76%
Terrisporobacter_glycolicus--GCF_000439105.1	28.37%
Peptostreptococcus_anaerobius--GCF_000381525.1	35.7%
Peptoclostridium_acidaminophilum--GCF_000597865.1	44.08%
Caloranaerobacter_azorensis--GCF_900129995.1	29.63%
Paramaledivibacter_caminithermalis--GCF_900142245.1	30.52%
Geosporobacter_subterraneus--GCF_900142145.1	40.34%
Peptoclostridium_litorale--GCF_900141635.1	41.18%
Thermotalea_metallivorans--GCF_001562415.1	40.3%
Eubacterium_infirmum--GCF_000242675.1	39.89%
Mogibacterium_pumilum--GCF_002243385.1	40.48%
Eubacterium_nodatum--GCF_000510425.1	38.1%
Anaerovorax_odorimutans--GCF_000426305.1	31.49%
Eubacterium_sulci--GCF_001189495.1	39.92%
Eubacterium_limosum--GCF_000807675.2	47.19%
