#Species	GC%
Bacillus_persicus--GCF_900109925.1	39.88%
Bacillus_gottheilii--GCF_900166665.1	38.51%
Bacillus_badius--GCF_001591605.1	43.91%
Bacillus_coagulans--GCF_000169195.2	46.49%
Bacillus_flexus--GCF_001591565.1	37.64%
Bacillus_boroniphilus--GCF_000517385.1	42.02%
Bacillus_thermoamylovorans--GCF_000751775.1	37.28%
Bhargavaea_cecembensis--GCF_001619585.1	53.71%
Bacillus_oleronius--GCF_002009555.1	34.97%
Bacillus_soli--GCF_001591665.1	39.53%
Bacillus_lentus--GCF_001591545.1	36.53%
Bacillus_subterraneus--GCF_000934845.1	42.13%
Bacillus_smithii--GCF_001050115.1	40.75%
Bacillus_methanolicus--GCF_000724485.1	38.59%
Bacillus_sporothermodurans--GCF_003055085.1	35.87%
Bacillus_acidiproducens--GCF_000374345.1	44.28%
Bacillus_bataviensis--GCF_000307875.1	39.61%
Bacillus_campisalis--GCF_000986785.1	45.44%
Bacillus_kribbensis--GCF_000430765.1	42.93%
Bacillus_marisflavi--GCF_001274775.1	48.56%
Bacillus_ginsengihumi--GCF_000526655.1	35.85%
Bacillus_jeotgali--GCF_900166585.1	42.09%
Bacillus_niacini--GCF_000759675.1	37.82%
Bacillus_shackletonii--GCF_001420715.1	36.47%
Bacillus_acidicola--GCF_001636425.1	39.39%
Bacillus_cucumis--GCF_002860255.1	38.61%
Bacillus_firmus--GCF_001038755.1	41.95%
