#Species	GC%
Megasphaera_cerevisiae--GCF_001045675.1	44.78%
Acetonema_longum--GCF_000219125.1	50.36%
Veillonella_tobetsuensis--GCF_001078375.1	38.47%
Veillonella_rodentium--GCF_900187285.1	43.02%
Negativicoccus_succinicivorans--GCA_000508525.1	48.08%
Megasphaera_micronuciformis--GCF_000165735.1	45.43%
Veillonella_parvula--GCF_001553335.1	38.56%
Megasphaera_paucivorans--GCF_900103535.1	40.2%
Allisonella_histaminiformans--GCF_900103425.1	46.29%
Anaerosporomusa_subterranea--GCF_001611555.1	47.08%
Selenomonas_bovis--GCF_000381005.1	59.05%
Veillonella_dispar--GCF_000160015.1	38.82%
Megasphaera_massiliensis--GCF_000455225.1	48.86%
Veillonella_magna--GCF_000428745.1	44.57%
Dialister_invisus--GCF_000160055.1	45.49%
Megasphaera_elsdenii--GCF_003010495.1	52.78%
Propionispora_vibrioides--GCF_900110485.1	47.76%
Veillonella_seminalis--GCF_000315505.1	41.1%
Sporomusa_sphaeroides--GCF_001941975.1	47.22%
Mitsuokella_jalaludinii--GCF_000702905.1	58.07%
Mitsuokella_multacida--GCF_000155955.1	58.01%
Anaeroglobus_geminatus--GCF_000239275.1	48.88%
Dialister_pneumosintes--GCF_001717505.1	35.19%
Veillonella_rogosae--GCF_002959775.1	38.91%
Veillonella_denticariosi--GCF_002959855.1	42.92%
Dialister_micraerophilus--GCF_000194985.1	34.6%
Dendrosporobacter_quercicolus--GCF_900104455.1	48.8%
Phascolarctobacterium_faecium--GCA_003269275.1	43.73%
Anaeroarcus_burkinensis--GCF_000430605.1	48.98%
Veillonella_atypica--GCF_002959915.1	39.02%
Dialister_succinatiphilus--GCF_000242435.1	49.61%
Pelosinus_propionicus--GCF_900114615.1	38.82%
Sporomusa_malonica--GCF_900176355.1	44.39%
Acidaminococcus_fermentans--GCF_000025305.1	55.84%
Veillonella_montpellierensis--GCF_000426745.1	36.94%
Propionispira_arboris--GCF_900109225.1	38.0%
Propionispira_raffinosivorans--GCF_000381065.1	38.1%
