#Species	GC%
Parabacteroides_gordonii--GCF_000969825.1	44.19%
Anaerophaga_thermohalophila--GCF_000191885.1	41.3%
Bacteroides_caecimuris--GCF_001688725.2	42.61%
Muribaculum_intestinale--GCF_002201515.1	50.12%
Parabacteroides_distasonis--GCF_000012845.1	45.06%
Porphyromonas_asaccharolytica--GCF_000212375.1	52.47%
Porphyromonas_catoniae--GCF_000565015.1	50.99%
Bacteroides_salanitronis--GCF_000190575.1	46.49%
Parabacteroides_merdae--GCF_000154105.1	45.28%
Bacteroides_oleiciplenus--GCF_000315485.1	43.38%
Dysgonomonas_gadei--GCF_000213555.1	39.53%
Parabacteroides_chinchillae--GCF_900108035.1	40.36%
Bacteroides_paurosaccharolyticus--GCF_000613805.1	37.08%
Bacteroides_coprosuis--GCF_000212915.1	34.99%
Porphyromonas_cangingivalis--GCF_000614355.1	47.6%
Parabacteroides_johnsonii--GCF_000156495.1	43.55%
Gabonibacter_massiliensis--GCF_001487125.1	42.08%
Bacteroides_coprocola--GCF_000154845.1	41.83%
Bacteroides_plebeius--GCA_000433715.1	45.09%
Porphyromonas_gingivalis--GCF_000010505.1	48.36%
Bacteroides_fragilis--GCF_000025985.1	43.11%
Porphyromonas_loveana--GCA_003096695.1	50.03%
Porphyromonas_endodontalis--GCF_000174815.1	47.52%
Parabacteroides_chartae--GCF_900168155.1	41.58%
Porphyromonas_bennonis--GCF_000375645.1	56.32%
Petrimonas_mucosa--GCF_900095795.1	47.97%
Coprobacter_secundus--GCF_000803105.1	37.82%
Porphyromonas_gulae--GCF_000378065.1	48.52%
Thermophagus_xiamenensis--GCF_900112795.1	39.09%
Barnesiella_intestinihominis--GCF_000296465.1	43.78%
Barnesiella_viscericola--GCF_000512915.1	51.67%
Parabacteroides_goldsteinii--GCF_000969835.1	43.13%
Pricia_antarctica--GCF_900101815.1	43.78%
Bacteroides_intestinalis--GCF_000172175.1	42.81%
Dysgonomonas_macrotermitis--GCF_900128985.1	38.54%
Tannerella_forsythia--GCF_001006485.1	47.14%
Bacteroides_rodentium--GCA_000614125.1	47.05%
Bacteroides_coprophilus--GCF_000157915.1	43.62%
Bacteroides_barnesiae--GCF_000374585.1	46.83%
Butyricimonas_virosa--GCF_000519105.1	42.28%
Porphyromonas_crevioricanis--GCF_900167225.1	45.3%
