#Species	GC%
Holdemanella_biformis--GCF_000156655.1	32.42%
Holdemania_filiformis--GCF_000157995.1	48.54%
Allobaculum_stercoricanis--GCF_000384195.1	37.83%
Anoxybacillus_pushchinoensis--GCF_900111795.1	41.97%
Lactobacillus_kitasatonis--GCF_000615285.1	37.5%
Lactobacillus_amylovorus--GCF_002706375.1	37.83%
Clostridium_innocuum--GCF_000371425.1	43.08%
Anoxybacillus_tepidamans--GCF_000620165.1	42.97%
Kandleria_vitulina--GCF_000702065.1	34.88%
Faecalicoccus_pleomorphus--GCF_000420345.1	39.03%
Sharpea_azabuensis--GCF_000702165.1	37.06%
Ileibacterium_valens--GCF_001945525.1	40.85%
Dielma_fastidiosa--GCF_000313565.1	39.54%
Erysipelothrix_rhusiopathiae--GCF_000160815.2	36.47%
Holdemania_massiliensis--GCF_000327285.1	46.36%
Faecalitalea_cylindroides--GCF_000469305.1	34.65%
Clostridium_butyricum--GCF_000409755.1	28.5%
Dubosiella_newyorkensis--GCF_001945605.1	42.37%
Lactobacillus_intestinalis--GCF_001435325.1	35.34%
Catenibacterium_mitsuokai--GCF_000173795.1	36.82%
Solobacterium_moorei--GCF_000425005.1	37.01%
Clostridium_saccharogumia--GCF_000686665.1	30.15%
Erysipelothrix_tonsillarum--GCF_000373785.1	36.82%
Clostridium_cocleatum--GCF_900102365.1	28.49%
Bulleidia_extructa--GCF_000177375.1	36.28%
Erysipelothrix_larvae--GCF_001545095.1	37.43%
Caldibacillus_debilis--GCF_000383875.1	51.58%
Anaerorhabdus_furcosa--GCF_900167375.1	32.11%
Faecalibaculum_rodentium--GCF_001564455.1	53.97%
Tuberibacillus_calidus--GCF_000430685.1	43.9%
Effusibacillus_pohliae--GCF_000376225.1	54.82%
Effusibacillus_lacus--GCF_002335525.1	49.59%
Clostridium_spiroforme--GCF_000154805.1	28.57%
