#Species	GC%
Parabacteroides_gordonii--GCF_000969825.1	44.19%
Bacteroides_faecichinchillae--GCF_000614145.1	38.73%
Bacteroides_caecimuris--GCF_001688725.2	42.61%
Parabacteroides_distasonis--GCF_000012845.1	45.06%
Bacteroides_salanitronis--GCF_000190575.1	46.49%
Parabacteroides_merdae--GCF_000154105.1	45.28%
Bacteroides_oleiciplenus--GCF_000315485.1	43.38%
Bacteroides_faecis--GCF_900106755.1	42.4%
Paraprevotella_clara--GCF_000233955.1	48.13%
Bacteroides_heparinolyticus--GCF_002998535.1	47.25%
Bacteroides_xylanisolvens--GCA_000210075.1	40.67%
Bacteroides_sartorii--GCA_000614185.1	43.82%
Bacteroides_paurosaccharolyticus--GCF_000613805.1	37.08%
Bacteroides_coprosuis--GCF_000212915.1	34.99%
Bacteroides_eggerthii--GCF_000155815.1	44.16%
Bacteroides_reticulotermitis--GCF_000517545.1	43.26%
Bacteroides_stercorirosoris--GCF_000614165.1	44.55%
Bacteroides_dorei--GCF_000156075.1	41.39%
Bacteroides_stercoris--GCF_000154525.1	45.82%
Bacteroides_coprocola--GCF_000154845.1	41.83%
Bacteroides_plebeius--GCA_000433715.1	45.09%
Bacteroides_fragilis--GCF_000025985.1	43.11%
Paraprevotella_xylaniphila--GCF_000205165.1	48.51%
Bacteroides_zoogleoformans--GCF_002998435.1	47.46%
Bacteroides_caccae--GCF_002222615.2	41.91%
Bacteroides_graminisolvens--GCF_000428125.1	41.47%
Bacteroides_thetaiotaomicron--GCF_000011065.1	42.86%
Bacteroides_ovatus--GCF_001314995.1	41.88%
Bacteroides_fluxus--GCF_000195635.1	45.57%
Bacteroides_pyogenes--GCF_000428105.1	45.64%
Bacteroides_acidifaciens--GCA_000613385.1	43.05%
Bacteroides_massiliensis--GCF_000382445.1	41.94%
Bacteroides_propionicifaciens--GCF_000375405.1	37.99%
Parabacteroides_goldsteinii--GCF_000969835.1	43.13%
Bacteroides_clarus--GCF_900129655.1	45.38%
Bacteroides_gallinarum--GCF_000374365.1	47.7%
Bacteroides_intestinalis--GCF_000172175.1	42.81%
Bacteroides_nordii--GCF_000613465.1	40.6%
Bacteroides_helcogenes--GCF_000186225.1	44.72%
Bacteroides_luti--GCF_900128905.1	36.77%
Bacteroides_rodentium--GCA_000614125.1	47.05%
Bacteroides_vulgatus--GCF_000012825.1	42.2%
Bacteroides_coprophilus--GCF_000157915.1	43.62%
Bacteroides_uniformis--GCF_000154205.1	46.43%
Bacteroides_barnesiae--GCF_000374585.1	46.83%
Bacteroides_cellulosilyticus--GCF_000158035.1	41.81%
Bacteroides_finegoldii--GCF_000156195.1	42.84%
Bacteroides_salyersiae--GCF_000381365.1	41.85%
