#Species	GC%
Acutalibacter_muris--GCF_002201475.1	54.64%
Ruthenibacterium_lactatiformans--GCF_000949455.1	56.51%
Clostridium_leptum--GCF_000154345.1	50.18%
Ruminococcus_callidus--GCF_000468015.1	48.67%
Clostridium_stercorarium--GCF_000331995.1	42.24%
Pseudobacteroides_cellulosolvens--GCF_001262605.1	35.55%
Clostridium_methylpentosum--GCF_000158655.1	50.74%
Clostridium_hungatei--GCF_002051585.1	42.27%
Agathobaculum_desmolans--GCF_000701665.1	54.07%
Butyricicoccus_pullicaecorum--GCF_900167005.1	54.08%
Intestinimonas_butyriciproducens--GCA_003096335.1	59.42%
Sporobacter_termitidis--GCF_900130065.1	56.6%
Herbivorax_saccincola--GCF_002844395.1	34.82%
Clostridium_thermosuccinogenes--GCF_002896855.1	41.54%
Oscillibacter_valericigenes--GCF_000283575.1	53.19%
Mageeibacillus_indolicus--GCF_000025225.2	44.21%
Eubacterium_siraeum--GCF_000154325.1	44.97%
Clostridium_butyricum--GCF_000409755.1	28.5%
Hydrogenoanaerobacterium_saccharovorans--GCF_900110045.1	42.66%
Clostridium_cellulolyticum--GCF_000022065.1	37.4%
Clostridium_clariflavum--GCF_000237085.1	35.72%
Ruminococcus_bromii--GCF_900101355.1	39.14%
Papillibacter_cinnamivorans--GCF_900176335.1	55.79%
Agathobaculum_butyriciproducens--GCA_003096535.1	54.23%
Clostridium_straminisolvens--GCF_000521465.1	38.33%
Clostridium_papyrosolvens--GCF_000175795.2	37.02%
Acetivibrio_cellulolyticus--GCF_000179595.2	35.49%
Pseudoflavonifractor_capillosus--GCF_000169255.2	59.11%
Fournierella_massiliensis--GCF_001486665.1	56.83%
Oscillibacter_ruminantium--GCF_000307265.1	54.45%
Clostridium_termitidis--GCF_000350485.1	41.2%
Flavonifractor_plautii--GCF_000239295.1	60.97%
Anaerotruncus_colihominis--GCF_000154565.1	54.17%
Clostridium_cellobioparum--GCF_000621505.1	41.32%
Ruminococcus_champanellensis--GCF_000210095.1	52.21%
Clostridium_viride--GCF_000620945.1	49.26%
Eubacterium_limosum--GCF_000807675.2	47.19%
