#Species	GC%
Pedobacter_heparinus--GCF_000023825.1	42.05%
Cytophaga_xylanolytica--GCF_003254275.1	46.41%
Alistipes_inops--GCF_000786575.1	56.6%
Alkaliflexus_imshenetskii--GCF_000517065.1	42.67%
Alistipes_shahii--GCF_000210575.1	55.82%
Saccharicrinis_fermentans--GCF_000517085.1	37.55%
Paludibacter_propionicigenes--GCF_000183135.1	38.86%
Pseudopedobacter_saltans--GCF_000190735.1	36.58%
Alistipes_putredinis--GCF_000154465.1	53.25%
Pedobacter_suwonensis--GCF_900111825.1	39.52%
Prolixibacter_bellariivorans--GCF_000621705.1	44.2%
Lentimicrobium_saccharophilum--GCF_001192835.1	46.68%
Rikenella_microfusus--GCF_000427365.1	57.0%
Alkalitalea_saponilacus--GCF_002201795.1	39.27%
Proteiniphilum_acetatigenes--GCF_000380985.1	43.14%
Alistipes_timonensis--GCF_900107675.1	58.84%
Pedobacter_terrae--GCF_900100705.1	38.76%
Brumimicrobium_mesophilum--GCF_003025005.1	33.59%
Pedobacter_nanyangensis--GCA_003313505.1	41.11%
Pedobacter_rhizosphaerae--GCF_900111155.1	39.23%
Pedobacter_agri--GCF_000258495.1	38.01%
Geofilum_rubicundum--GCF_000974365.1	44.82%
Thermophagus_xiamenensis--GCF_900112795.1	39.09%
Mucinivorans_hirudinis--GCF_000723505.1	44.9%
Pedobacter_soli--GCF_900101435.1	40.43%
Pedobacter_xixiisoli--GCF_900215335.1	37.68%
Prolixibacter_denitrificans--GCF_003014495.1	45.09%
Alistipes_onderdonkii--GCF_000374505.1	57.83%
Alistipes_indistinctus--GCF_000231275.1	54.67%
Alistipes_finegoldii--GCF_000265365.1	56.65%
Marinifilum_fragile--GCF_001310955.1	35.71%
