#Species	GC%
Streptococcus_agalactiae--GCF_000186445.1	32.6%
Streptococcus_sanguinis--GCF_000212815.1	42.59%
Streptococcus_caballi--GCF_000379985.1	40.33%
Streptococcus_minor--GCF_000377005.1	41.1%
Streptococcus_henryi--GCF_000376985.1	38.59%
Streptococcus_ovis--GCF_000380125.1	40.1%
Streptococcus_dysgalactiae--GCF_000188315.1	39.27%
Streptococcus_pyogenes--GCF_002055535.1	38.5%
Streptococcus_merionis--GCF_000380085.1	41.69%
Streptococcus_urinalis--GCF_000188055.2	34.19%
Streptococcus_cristatus--GCF_000385925.1	42.07%
Streptococcus_iniae--GCF_001595425.1	36.52%
Lactococcus_chungangensis--GCF_002441885.1	38.67%
Lactococcus_fujiensis--GCF_002441655.1	36.95%
Streptococcus_hyovaginalis--GCF_000420785.1	39.86%
Lactococcus_plantarum--GCF_002441715.1	36.76%
Streptococcus_equi--GCF_900110405.1	41.16%
Lactococcus_raffinolactis--GCF_001591765.1	39.76%
Streptococcus_parasanguinis--GCA_000180035.1	41.98%
Lactococcus_lactis--GCF_001622305.1	38.57%
Lactococcus_garvieae--GCF_000269925.1	38.83%
Streptococcus_oralis--GCF_001579175.1	40.05%
Lactococcus_piscium--GCF_002441695.1	38.55%
Streptococcus_criceti--GCF_000187975.2	42.19%
Streptococcus_ictaluri--GCF_000188015.2	38.16%
