#Species	GC%
Parabacteroides_gordonii--GCF_000969825.1	44.19%
Anaerophaga_thermohalophila--GCF_000191885.1	41.3%
Muribaculum_intestinale--GCF_002201515.1	50.12%
Parabacteroides_distasonis--GCF_000012845.1	45.06%
Porphyromonas_asaccharolytica--GCF_000212375.1	52.47%
Dysgonomonas_mossii--GCF_000213575.1	37.44%
Prevotella_melaninogenica--GCF_000144405.1	40.98%
Porphyromonas_catoniae--GCF_000565015.1	50.99%
Bacteroides_salanitronis--GCF_000190575.1	46.49%
Bacteroides_oleiciplenus--GCF_000315485.1	43.38%
Prevotella_loescheii--GCF_000378085.1	46.57%
Paraprevotella_clara--GCF_000233955.1	48.13%
Dysgonomonas_gadei--GCF_000213555.1	39.53%
Bacteroides_heparinolyticus--GCF_002998535.1	47.25%
Parapedobacter_koreensis--GCF_900109365.1	48.24%
Parabacteroides_chinchillae--GCF_900108035.1	40.36%
Bacteroides_sartorii--GCA_000614185.1	43.82%
Prevotella_maculosa--GCF_000382385.1	47.36%
Olivibacter_sitiensis--GCF_000427965.1	44.61%
Proteiniphilum_acetatigenes--GCF_000380985.1	43.14%
Bacteroides_stercorirosoris--GCF_000614165.1	44.55%
Parabacteroides_johnsonii--GCF_000156495.1	43.55%
Bacteroides_dorei--GCF_000156075.1	41.39%
Coprobacter_fastidiosus--GCF_000473955.1	38.32%
Prevotella_oris--GCF_000613505.1	43.84%
Gabonibacter_massiliensis--GCF_001487125.1	42.08%
Paraprevotella_xylaniphila--GCF_000205165.1	48.51%
Bacteroides_zoogleoformans--GCF_002998435.1	47.46%
Parabacteroides_chartae--GCF_900168155.1	41.58%
Coprobacter_secundus--GCF_000803105.1	37.82%
Porphyromonas_gulae--GCF_000378065.1	48.52%
Prevotella_denticola--GCF_000613585.1	49.99%
Thermophagus_xiamenensis--GCF_900112795.1	39.09%
Prevotella_shahii--GCF_000613445.1	44.38%
Barnesiella_intestinihominis--GCF_000296465.1	43.78%
Bacteroides_massiliensis--GCF_000382445.1	41.94%
Barnesiella_viscericola--GCF_000512915.1	51.67%
Bacteroides_clarus--GCF_900129655.1	45.38%
Prevotella_dentasini--GCF_000614065.1	50.58%
Bacteroides_rodentium--GCA_000614125.1	47.05%
Bacteroides_coprophilus--GCF_000157915.1	43.62%
Bacteroides_uniformis--GCF_000154205.1	46.43%
Bacteroides_barnesiae--GCF_000374585.1	46.83%
Butyricimonas_virosa--GCF_000519105.1	42.28%
Bacteroides_salyersiae--GCF_000381365.1	41.85%
