#Species	GC%
Streptococcus_pseudopneumoniae--GCF_001074565.1	40.5%
Streptococcus_agalactiae--GCF_000186445.1	32.6%
Streptococcus_sanguinis--GCF_000212815.1	42.59%
Streptococcus_sinensis--GCF_000767835.1	42.16%
Streptococcus_minor--GCF_000377005.1	41.1%
Streptococcus_gordonii--GCA_001578795.1	38.91%
Streptococcus_dysgalactiae--GCF_000188315.1	39.27%
Streptococcus_pyogenes--GCF_002055535.1	38.5%
Streptococcus_urinalis--GCF_000188055.2	34.19%
Streptococcus_cristatus--GCF_000385925.1	42.07%
Streptococcus_australis--GCF_000186465.1	41.41%
Streptococcus_infantarius--GCF_000154985.1	37.57%
Streptococcus_iniae--GCF_001595425.1	36.52%
Streptococcus_himalayensis--GCF_001708305.1	41.27%
Streptococcus_salivarius--GCF_000785515.1	40.15%
Streptococcus_marmotae--GCF_001623565.1	40.87%
Streptococcus_porcinus--GCF_900475415.1	36.81%
Streptococcus_intermedius--GCF_000413475.1	37.66%
Streptococcus_mitis--GCF_001074635.1	39.66%
Streptococcus_plurextorum--GCF_000423745.1	41.05%
Streptococcus_infantis--GCF_000960085.1	39.2%
Streptococcus_pneumoniae--GCF_001113365.1	39.74%
Streptococcus_constellatus--GCF_000257785.1	37.92%
Streptococcus_uberis--GCF_900475595.1	36.59%
Streptococcus_gallolyticus--GCF_002000985.1	37.7%
Streptococcus_parasanguinis--GCA_000180035.1	41.98%
Streptococcus_vestibularis--GCF_000188295.1	38.95%
Streptococcus_oralis--GCF_001579175.1	40.05%
Streptococcus_suis--GCF_002962445.1	43.72%
Streptococcus_parauberis--GCF_000187935.1	35.49%
