#Matching species	Similarity (%)
Odoribacter laneus--Odoribacteraceae--AB490805 (Valid)	89.9788285109
Odoribacter splanchnicus--Odoribacteraceae--L16496 (Valid)	88.7719298246
Butyricimonas synergistica--Odoribacteraceae--AB443948 (Valid)	86.095505618
Odoribacter denticanis--Odoribacteraceae--AY560020 (Valid)	85.8267716535
Butyricimonas virosa--Odoribacteraceae--AB443949 (Valid)	85.8046380885
Butyricimonas paravirosa--Odoribacteraceae--AB916502 (Valid)	85.1929824561
Marinilabilia salmonicolor--Marinilabiliaceae--AB517713 (Valid)	85.1380042463
Saccharicrinis carchari--Unclassified Bacteroidales--JQ683776 (Valid)	84.9295774648
Saccharicrinis fermentans--Unclassified Bacteroidales--M58766 (Valid)	84.869809993
Alkalitalea saponilacus--Marinilabiliaceae--HQ191474 (Valid)	84.7994370162
Butyricimonas faecihominis--Odoribacteraceae--AB916501 (Valid)	84.6423562412
Carboxylicivirga linearis--Marinilabiliaceae--KP172527 (Valid)	84.6044191019
Roseimarinus sediminis--Prolixibacteraceae--KP019205 (Valid)	84.5551601423
Natronoflexus pectinivorans--Marinilabiliaceae--GQ922844 (Valid)	84.5338983051
Falsiporphyromonas endometrii--Porphyromonadaceae--HF969314 (Valid)	84.4366197183
Mariniphaga anaerophila--Prolixibacteraceae--AB921558 (Valid)	84.4192634561
Labilibacter aurantiacus--Marinilabiliaceae--JF721990 (Valid)	84.2625264644
Mangroviflexus xiamenensis--Marinilabiliaceae--HQ697914 (Valid)	84.2441447835
Anaerophaga thermohalophila--Marinilabiliaceae--AJ418048 (Valid)	84.1292134831
Marinifilum fragile--Marinifilaceae--FJ394546 (Valid)	83.9096683133
Sunxiuqinia faeciviva--Prolixibacteraceae--AB362263 (Valid)	83.9007092199
Balneicella halophila--Balneicellaceae--LM999900 (Valid)	83.8390966831
Carboxylicivirga mesophila--Marinilabiliaceae--JQ672625 (Valid)	83.7110481586
Alkaliflexus imshenetskii--Marinilabiliaceae--AJ784993 (Valid)	83.661971831
Marinifilum albidiflavum--Marinifilaceae--KX010419 (Valid)	83.6273817925
Parabacteroides johnsonii--Porphyromonadaceae--AB261128 (Valid)	83.6261419536
Gabonibacter massiliensis--Porphyromonadaceae--LN881588 (Valid)	83.5789473684
Labilibacter marinus--Marinilabiliaceae--KJ093446 (Valid)	83.5102618542
Geofilum rubicundum--Marinilabiliaceae--AB362265 (Valid)	83.4634492548
Coprobacter secundus--Porphyromonadaceae--JTDA01000039 (Valid)	83.4385964912
Draconibacterium orientale--Prolixibacteraceae--JQ683778 (Valid)	83.2630098453
Marinifilum flexuosum--Marinifilaceae--HE613737 (Valid)	83.2618025751
Macellibacteroides fermentans--Porphyromonadaceae--HQ020488 (Valid)	83.2280701754
Parabacteroides chartae--Porphyromonadaceae--JN029805 (Valid)	83.2280701754
Cytophaga xylanolytica--Cytophagaceae--FR733683 (Valid)	83.215796897
Carboxylicivirga taeanensis--Marinilabiliaceae--KF620113 (Valid)	83.1884057971
Parabacteroides merdae--Porphyromonadaceae--AB238928 (Valid)	83.1697054698
Dysgonomonas capnocytophagoides--Porphyromonadaceae--U41355 (Valid)	83.1104855735
Dysgonomonas gadei--Porphyromonadaceae--Y18530 (Valid)	83.0747531735
Tangfeifania diversioriginum--Prolixibacteraceae--JQ683777 (Valid)	83.0148619958
Tannerella forsythia--Porphyromonadaceae--AB035460 (Valid)	82.8873239437
Prolixibacter denitrificans--Prolixibacteraceae--AB986195 (Valid)	82.8733191791
Prolixibacter bellariivorans--Prolixibacteraceae--AY918928 (Valid)	82.841068917
Parabacteroides chinchillae--Porphyromonadaceae--AB574482 (Valid)	82.6788218794
Thermophagus xiamenensis--Marinilabiliaceae--DQ517535 (Valid)	82.654494382
Ancylomarina subtilis--Marinifilaceae--KP214056 (Valid)	82.6271186441
Parabacteroides faecis--Porphyromonadaceae--AB739697 (Valid)	82.538569425
Porphyromonas pasteri--Porphyromonadaceae--LC014934 (Valid)	82.5140449438
Mangrovibacterium diazotrophicum--Prolixibacteraceae--JX983191 (Valid)	82.4964131994
Carboxylicivirga flava--Marinilabiliaceae--KR809872 (Valid)	82.1300929235
