#Species	GC%
Marinilabilia_salmonicolor--GCF_003003035.1	42.45%
Anaerophaga_thermohalophila--GCF_000191885.1	41.3%
Cytophaga_xylanolytica--GCF_003254275.1	46.41%
Alkaliflexus_imshenetskii--GCF_000517065.1	42.67%
Parabacteroides_distasonis--GCF_000012845.1	45.06%
Odoribacter_splanchnicus--GCF_000190535.1	43.36%
Saccharicrinis_fermentans--GCF_000517085.1	37.55%
Parabacteroides_merdae--GCF_000154105.1	45.28%
Labilibacter_marinus--GCF_001659685.2	35.38%
Labilibacter_aurantiacus--GCF_001660705.2	35.06%
Prolixibacter_bellariivorans--GCF_000621705.1	44.2%
Dysgonomonas_gadei--GCF_000213555.1	39.53%
Odoribacter_laneus--GCF_000243215.1	40.34%
Parabacteroides_chinchillae--GCF_900108035.1	40.36%
Draconibacterium_orientale--GCF_000626635.1	41.31%
Alkalitalea_saponilacus--GCF_002201795.1	39.27%
Dysgonomonas_capnocytophagoides--GCF_000426485.1	37.72%
Parabacteroides_johnsonii--GCF_000156495.1	43.55%
Gabonibacter_massiliensis--GCF_001487125.1	42.08%
Parabacteroides_chartae--GCF_900168155.1	41.58%
Coprobacter_secundus--GCF_000803105.1	37.82%
Balneicella_halophila--GCA_003096835.1	35.47%
Mariniphaga_anaerophila--GCF_900129025.1	41.77%
Geofilum_rubicundum--GCF_000974365.1	44.82%
Thermophagus_xiamenensis--GCF_900112795.1	39.09%
Tangfeifania_diversioriginum--GCF_900141875.1	41.84%
Prolixibacter_denitrificans--GCF_003014495.1	45.09%
Tannerella_forsythia--GCF_001006485.1	47.14%
Marinifilum_fragile--GCF_001310955.1	35.71%
Butyricimonas_synergistica--GCA_001915615.1	42.8%
Butyricimonas_virosa--GCF_000519105.1	42.28%
