#Species	GC%
Clostridium_intestinale--GCF_900130055.1	30.04%
Clostridium_paraputrificum--GCF_900447045.1	29.99%
Clostridium_celatum--GCF_000320405.1	27.72%
Clostridium_vincentii--GCF_002995745.1	30.7%
Clostridium_saudiense--GCF_000577815.1	27.94%
Clostridium_bornimense--GCF_000577895.1	29.45%
Clostridium_baratii--GCF_000789395.1	28.25%
Clostridium_puniceum--GCF_002006345.1	28.61%
Clostridium_disporicum--GCF_001405015.1	28.82%
Clostridium_cavendishii--GCF_900141845.1	27.87%
Clostridium_saccharobutylicum--GCF_000473995.1	28.66%
Clostridium_septicum--GCF_900092375.1	27.51%
Clostridium_lundense--GCF_000619945.1	29.28%
Clostridium_hydrogeniformans--GCF_000686705.1	29.37%
Clostridium_butyricum--GCF_000409755.1	28.5%
Clostridium_chauvoei--GCF_002327185.1	28.28%
Clostridium_cadaveris--GCF_000424205.1	31.08%
Clostridium_gasigenes--GCF_900104115.1	28.66%
Clostridium_saccharoperbutylacetonicum--GCF_000340885.1	29.54%
Clostridium_chromiireducens--GCF_002029255.1	30.12%
Clostridium_beijerinckii--GCA_003129525.1	29.31%
Clostridium_tertium--GCF_900217175.1	27.78%
Clostridium_fallax--GCF_900129365.1	26.53%
Clostridium_cellulovorans--GCF_000145275.1	31.21%
Clostridium_perfringens--GCF_000013285.1	28.38%
Clostridium_algidicarnis--GCF_002934235.1	30.22%
Clostridium_sartagoforme--GCF_000401215.1	27.91%
Clostridium_amylolyticum--GCF_900142075.1	32.07%
Clostridium_frigidicarnis--GCF_900111985.1	28.44%
Clostridium_uliginosum--GCF_900112485.1	28.1%
