#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Caloranaerobacter_azorensis--GCF_900129995.1 as POCP was;	26.4547313627%
POCP suggests seperate genus between the input genome and Thermotalea_metallivorans--GCF_001562415.1 as POCP was;	27.5590551181%
POCP suggests seperate genus between the input genome and Alkaliphilus_peptidifermentans--GCF_900101495.1 as POCP was;	24.1244593275%
POCP suggests seperate genus between the input genome and Eubacterium_nodatum--GCF_000510425.1 as POCP was;	38.4179559817%
POCP suggests seperate genus between the input genome and Clostridium_hiranonis--GCF_000156055.1 as POCP was;	25.6693830035%
POCP suggests seperate genus between the input genome and Peptostreptococcus_anaerobius--GCF_000381525.1 as POCP was;	23.7548678008%
POCP suggests seperate genus between the input genome and Eubacterium_sulci--GCF_001189495.1 as POCP was;	40.2460456942%
POCP suggests seperate genus between the input genome and Eubacterium_limosum--GCF_000807675.2 as POCP was;	24.1101694915%
POCP suggests seperate genus between the input genome and Peptostreptococcus_stomatis--GCF_000147675.1 as POCP was;	23.110924016%
POCP suggests seperate genus between the input genome and Acidaminobacter_hydrogenoformans--GCF_900103005.1 as POCP was;	26.1931544271%
POCP suggests seperate genus between the input genome and Mogibacterium_diversum--GCF_002998925.1 as POCP was;	31.4341001935%
POCP suggests seperate genus between the input genome and Acetoanaerobium_noterae--GCF_900168025.1 as POCP was;	26.0293338046%
POCP suggests seperate genus between the input genome and Mogibacterium_pumilum--GCF_002243385.1 as POCP was;	30.8071076857%
POCP suggests seperate genus between the input genome and Terrisporobacter_glycolicus--GCF_000439105.1 as POCP was;	26.1866274798%
POCP suggests seperate genus between the input genome and Geosporobacter_subterraneus--GCF_900142145.1 as POCP was;	26.8719175011%
POCP suggests seperate genus between the input genome and Maledivibacter_halophilus--GCF_900167445.1 as POCP was;	25.3358925144%
POCP suggests seperate genus between the input genome and Eubacterium_brachy--GCF_000488855.1 as POCP was;	31.4661134163%
POCP suggests seperate genus between the input genome and Clostridiisalibacter_paucivorans--GCF_000620125.1 as POCP was;	28.4629354466%
POCP suggests seperate genus between the input genome and Clostridium_butyricum--GCF_000409755.1 as POCP was;	22.2582464054%
POCP suggests seperate genus between the input genome and Romboutsia_ilealis--GCA_900015215.1 as POCP was;	24.0820937677%
POCP suggests seperate genus between the input genome and Mogibacterium_timidum--GCF_000525775.1 as POCP was;	30.6882946076%
POCP suggests seperate genus between the input genome and Peptoclostridium_litorale--GCF_900141635.1 as POCP was;	25.3525913339%
POCP suggests seperate genus between the input genome and Eubacterium_saphenum--GCF_000161975.1 as POCP was;	25.4372427984%
POCP suggests seperate genus between the input genome and Paramaledivibacter_caminithermalis--GCF_900142245.1 as POCP was;	26.4851114769%
POCP suggests seperate genus between the input genome and Alkaliphilus_transvaalensis--GCF_000621485.1 as POCP was;	24.56192901%
POCP suggests seperate genus between the input genome and Peptoclostridium_acidaminophilum--GCF_000597865.1 as POCP was;	25.5035848412%
POCP suggests seperate genus between the input genome and Anaerovorax_odorimutans--GCF_000426305.1 as POCP was;	34.8829259956%
POCP suggests seperate genus between the input genome and Eubacterium_infirmum--GCF_000242675.1 as POCP was;	39.4922125027%
POCP suggests seperate genus between the input genome and Eubacterium_pyruvativorans--GCF_900102225.1 as POCP was;	39.1538780589%
