#Species	GC%
Sutterella_wadsworthensis--GCF_000411515.1	54.23%
Paucimonas_lemoignei--GCF_900475325.1	58.91%
Bordetella_avium--GCF_000070465.1	61.58%
Pandoraea_apista--GCF_001465595.2	62.63%
Cupriavidus_plantarum--GCF_003148725.1	65.88%
Pusillimonas_noertemannii--GCA_003096595.1	62.57%
Turicimonas_muris--GCF_002221595.1	44.09%
Burkholderia_stabilis--GCF_001742165.1	66.42%
Candidimonas_nitroreducens--GCF_002209565.1	63.61%
Candidimonas_bauzanensis--GCF_900129885.1	62.16%
Bordetella_pseudohinzii--GCF_000657795.2	66.56%
Sutterella_parvirubra--GCF_000250875.1	65.05%
Bordetella_hinzii--GCF_001548475.1	67.1%
Cupriavidus_necator--GCF_000219215.1	65.47%
Basilea_psittacipulmonis--GCF_000743945.1	40.26%
Parasutterella_excrementihominis--GCF_000205025.1	48.14%
Pandoraea_thiooxydans--GCF_001931675.1	63.19%
Caldimonas_manganoxidans--GCF_000381125.1	65.96%
Noviherbaspirillum_massiliense--GCF_000312045.1	59.73%
Bordetella_trematum--GCF_900078335.1	65.59%
Paraburkholderia_sediminicola--GCF_900104005.1	63.61%
Burkholderia_multivorans--GCF_000959525.1	67.24%
Derxia_gummosa--GCF_000482785.1	69.87%
Bordetella_pertussis--GCA_001525555.2	67.67%
Cupriavidus_taiwanensis--GCF_000372525.1	67.21%
Paraburkholderia_graminis--GCF_000172415.1	62.87%
Sterolibacterium_denitrificans--GCA_900174485.1	63.16%
Methyloversatilis_discipulorum--GCF_000527135.1	66.56%
Paraburkholderia_endofungorum--GCF_002927045.1	61.27%
Burkholderia_cepacia--GCF_001411495.1	66.61%
Lautropia_mirabilis--GCF_000186425.1	65.27%
