#Species	GC%
Kineothrix_alysoides--GCF_000732725.1	42.74%
Butyrivibrio_crossotus--GCF_000156015.1	37.55%
Clostridium_amygdalinum--GCF_900205965.1	41.29%
Clostridium_indolis--GCF_000526995.1	44.93%
Clostridium_polysaccharolyticum--GCF_900111595.1	36.54%
Roseburia_faecis--GCF_001405615.1	42.91%
Clostridium_asparagiforme--GCF_000158075.1	53.93%
Hungatella_effluvii--GCF_003201875.1	48.96%
Coprococcus_comes--GCF_000155875.1	42.45%
Butyrivibrio_fibrisolvens--GCF_900129945.1	39.66%
Clostridium_saccharolyticum--GCF_000144625.1	45.0%
Fusicatenibacter_saccharivorans--GCF_001405555.1	47.0%
Clostridium_scindens--GCF_000154505.1	46.32%
Sellimonas_intestinalis--GCF_001280875.1	45.32%
Eisenbergiella_tayi--GCF_001881565.1	46.76%
Roseburia_hominis--GCF_000225345.1	48.5%
Clostridium_glycyrrhizinilyticum--GCF_001311035.1	45.33%
Blautia_producta--GCF_000373885.1	45.68%
Clostridium_butyricum--GCF_000409755.1	28.5%
Blautia_coccoides--GCF_002221555.2	45.7%
Clostridium_citroniae--GCF_000233455.1	48.76%
Roseburia_intestinalis--GCF_000156535.1	42.34%
Murimonas_intestini--GCF_003148945.1	45.46%
Anaerostipes_caccae--GCF_000154305.1	44.31%
Clostridium_bolteae--GCF_002234575.2	49.05%
Blautia_obeum--GCF_000153905.1	41.58%
Acetitomaculum_ruminis--GCF_900112085.1	34.15%
Acetatifactor_muris--GCF_900248245.1	47.7%
Johnsonella_ignava--GCF_000235445.1	35.54%
Clostridium_sphenoides--GCF_900105615.1	43.77%
Blautia_hansenii--GCF_002222595.2	39.04%
Clostridium_celerecrescens--GCF_000732605.1	43.51%
Faecalicatena_orotica--GCF_003149245.1	44.74%
Bacteroides_pectinophilus--GCF_000155855.1	41.89%
Ruminococcus_torques--GCF_000153925.1	41.94%
Marvinbryantia_formatexigens--GCF_000173815.1	49.55%
Eubacterium_oxidoreducens--GCF_900104415.1	39.83%
Eubacterium_limosum--GCF_000807675.2	47.19%
Herbinix_hemicellulosilytica--GCF_002904165.1	36.69%
Coprococcus_eutactus--GCF_000154425.1	43.08%
Desulfotomaculum_nigrificans--GCF_000189755.2	46.27%
Desulfotomaculum_guttoideum--GCF_900105215.1	43.41%
Ruminococcus_gnavus--GCF_002959615.1	42.85%
